0,Off,LLN0.Zero.mag.f
1C7B,SRC 4 Phase C Power Factor,ACsrcMMXU4.PF.phsC.instCVal.mag.f
1C80,SRC 5 Three Phase Real Power,ACsrcMMXU5.TotW.instMag.f
1C88,SRC 5 Three Phase Reactive Power,ACsrcMMXU5.TotVAr.instMag.f
1C90,SRC 5 Three Phase Apparent Power,ACsrcMMXU5.TotVA.instMag.f
1C98,SRC 5 Three Phase Power Factor,ACsrcMMXU5.TotPF.instMag.f
1D88,SRC 5 Frequency,ACsrcMMXU5.Hz.instMag.f
1B15,SRC 5 Phase AB Voltage Magnitude,ACsrcMMXU5.PPV.phsAB.instCVal.mag.f
1B17,SRC 5 Phase AB Voltage Angle,ACsrcMMXU5.PPV.phsAB.instCVal.ang.f
1B18,SRC 5 Phase BC Voltage Magnitude,ACsrcMMXU5.PPV.phsBC.instCVal.mag.f
1B1A,SRC 5 Phase BC Voltage Angle,ACsrcMMXU5.PPV.phsBC.instCVal.ang.f
1B1B,SRC 5 Phase CA Voltage Magnitude,ACsrcMMXU5.PPV.phsCA.instCVal.mag.f
1B1D,SRC 5 Phase CA Voltage Angle,ACsrcMMXU5.PPV.phsCA.instCVal.ang.f
1B0F,SRC 5 Phase AB Voltage RMS,ACsrcMMXU5.VabRMS.instMag.f
1B11,SRC 5 Phase BC Voltage RMS,ACsrcMMXU5.VbcRMS.instMag.f
1B13,SRC 5 Phase CA Voltage RMS,ACsrcMMXU5.VcaRMS.instMag.f
1B06,SRC 5 Phase AG Voltage Magnitude,ACsrcMMXU5.PhV.phsA.instCVal.mag.f
1B08,SRC 5 Phase AG Voltage Angle,ACsrcMMXU5.PhV.phsA.instCVal.ang.f
1B09,SRC 5 Phase BG Voltage Magnitude,ACsrcMMXU5.PhV.phsB.instCVal.mag.f
1B0B,SRC 5 Phase BG Voltage Angle,ACsrcMMXU5.PhV.phsB.instCVal.ang.f
1B0C,SRC 5 Phase CG Voltage Magnitude,ACsrcMMXU5.PhV.phsC.instCVal.mag.f
1B0E,SRC 5 Phase CG Voltage Angle,ACsrcMMXU5.PhV.phsC.instCVal.ang.f
1B00,SRC 5 Phase AG Voltage RMS,ACsrcMMXU5.VaRMS.instMag.f
1B02,SRC 5 Phase BG Voltage RMS,ACsrcMMXU5.VbRMS.instMag.f
1B04,SRC 5 Phase CG Voltage RMS,ACsrcMMXU5.VcRMS.instMag.f
1908,SRC 5 Phase A Current Magnitude,ACsrcMMXU5.A.phsA.instCVal.mag.f
190A,SRC 5 Phase A Current Angle,ACsrcMMXU5.A.phsA.instCVal.ang.f
190B,SRC 5 Phase B Current Magnitude,ACsrcMMXU5.A.phsB.instCVal.mag.f
190D,SRC 5 Phase B Current Angle,ACsrcMMXU5.A.phsB.instCVal.ang.f
190E,SRC 5 Phase C Current Magnitude,ACsrcMMXU5.A.phsC.instCVal.mag.f
1910,SRC 5 Phase C Current Angle,ACsrcMMXU5.A.phsC.instCVal.ang.f
1911,SRC 5 Neutral Current Magnitude,ACsrcMMXU5.A.res.instCVal.mag.f
1913,SRC 5 Neutral Current Angle,ACsrcMMXU5.A.res.instCVal.ang.f
1900,SRC 5 Phase A Current RMS,ACsrcMMXU5.AaRMS.instMag.f
1902,SRC 5 Phase B Current RMS,ACsrcMMXU5.AbRMS.instMag.f
1904,SRC 5 Phase C Current RMS,ACsrcMMXU5.AcRMS.instMag.f
1906,SRC 5 Neutral Current RMS,ACsrcMMXU5.AresRMS.instMag.f
1922,SRC 5 Differential Ground Current Magnitude,ACsrcMMXU5.Adif.instCVal.mag.f
1924,SRC 5 Differential Ground Current Angle,ACsrcMMXU5.Adif.instCVal.ang.f
1C82,SRC 5 Phase A Real Power,ACsrcMMXU5.W.phsA.instCVal.mag.f
1C84,SRC 5 Phase B Real Power,ACsrcMMXU5.W.phsB.instCVal.mag.f
1C86,SRC 5 Phase C Real Power,ACsrcMMXU5.W.phsC.instCVal.mag.f
1C8A,SRC 5 Phase A Reactive Power,ACsrcMMXU5.VAr.phsA.instCVal.mag.f
1C8C,SRC 5 Phase B Reactive Power,ACsrcMMXU5.VAr.phsB.instCVal.mag.f
1C8E,SRC 5 Phase C Reactive Power,ACsrcMMXU5.VAr.phsC.instCVal.mag.f
1C92,SRC 5 Phase A Apparent Power,ACsrcMMXU5.VA.phsA.instCVal.mag.f
1C94,SRC 5 Phase B Apparent Power,ACsrcMMXU5.VA.phsB.instCVal.mag.f
1C96,SRC 5 Phase C Apparent Power,ACsrcMMXU5.VA.phsC.instCVal.mag.f
1C99,SRC 5 Phase A Power Factor,ACsrcMMXU5.PF.phsA.instCVal.mag.f
1C9A,SRC 5 Phase B Power Factor,ACsrcMMXU5.PF.phsB.instCVal.mag.f
1C9B,SRC 5 Phase C Power Factor,ACsrcMMXU5.PF.phsC.instCVal.mag.f
1CA0,SRC 6 Three Phase Real Power,ACsrcMMXU6.TotW.instMag.f
1CA8,SRC 6 Three Phase Reactive Power,ACsrcMMXU6.TotVAr.instMag.f
1CB0,SRC 6 Three Phase Apparent Power,ACsrcMMXU6.TotVA.instMag.f
1CB8,SRC 6 Three Phase Power Factor,ACsrcMMXU6.TotPF.instMag.f
1D8A,SRC 6 Frequency,ACsrcMMXU6.Hz.instMag.f
1B55,SRC 6 Phase AB Voltage Magnitude,ACsrcMMXU6.PPV.phsAB.instCVal.mag.f
1B57,SRC 6 Phase AB Voltage Angle,ACsrcMMXU6.PPV.phsAB.instCVal.ang.f
1B58,SRC 6 Phase BC Voltage Magnitude,ACsrcMMXU6.PPV.phsBC.instCVal.mag.f
1B5A,SRC 6 Phase BC Voltage Angle,ACsrcMMXU6.PPV.phsBC.instCVal.ang.f
1B5B,SRC 6 Phase CA Voltage Magnitude,ACsrcMMXU6.PPV.phsCA.instCVal.mag.f
1B5D,SRC 6 Phase CA Voltage Angle,ACsrcMMXU6.PPV.phsCA.instCVal.ang.f
1B4F,SRC 6 Phase AB Voltage RMS,ACsrcMMXU6.VabRMS.instMag.f
1B51,SRC 6 Phase BC Voltage RMS,ACsrcMMXU6.VbcRMS.instMag.f
1B53,SRC 6 Phase CA Voltage RMS,ACsrcMMXU6.VcaRMS.instMag.f
1B46,SRC 6 Phase AG Voltage Magnitude,ACsrcMMXU6.PhV.phsA.instCVal.mag.f
1B48,SRC 6 Phase AG Voltage Angle,ACsrcMMXU6.PhV.phsA.instCVal.ang.f
1B49,SRC 6 Phase BG Voltage Magnitude,ACsrcMMXU6.PhV.phsB.instCVal.mag.f
1B4B,SRC 6 Phase BG Voltage Angle,ACsrcMMXU6.PhV.phsB.instCVal.ang.f
1B4C,SRC 6 Phase CG Voltage Magnitude,ACsrcMMXU6.PhV.phsC.instCVal.mag.f
1B4E,SRC 6 Phase CG Voltage Angle,ACsrcMMXU6.PhV.phsC.instCVal.ang.f
1B40,SRC 6 Phase AG Voltage RMS,ACsrcMMXU6.VaRMS.instMag.f
1B42,SRC 6 Phase BG Voltage RMS,ACsrcMMXU6.VbRMS.instMag.f
1B44,SRC 6 Phase CG Voltage RMS,ACsrcMMXU6.VcRMS.instMag.f
1948,SRC 6 Phase A Current Magnitude,ACsrcMMXU6.A.phsA.instCVal.mag.f
194A,SRC 6 Phase A Current Angle,ACsrcMMXU6.A.phsA.instCVal.ang.f
194B,SRC 6 Phase B Current Magnitude,ACsrcMMXU6.A.phsB.instCVal.mag.f
194D,SRC 6 Phase B Current Angle,ACsrcMMXU6.A.phsB.instCVal.ang.f
194E,SRC 6 Phase C Current Magnitude,ACsrcMMXU6.A.phsC.instCVal.mag.f
1950,SRC 6 Phase C Current Angle,ACsrcMMXU6.A.phsC.instCVal.ang.f
1951,SRC 6 Neutral Current Magnitude,ACsrcMMXU6.A.res.instCVal.mag.f
1953,SRC 6 Neutral Current Angle,ACsrcMMXU6.A.res.instCVal.ang.f
1940,SRC 6 Phase A Current RMS,ACsrcMMXU6.AaRMS.instMag.f
1942,SRC 6 Phase B Current RMS,ACsrcMMXU6.AbRMS.instMag.f
1944,SRC 6 Phase C Current RMS,ACsrcMMXU6.AcRMS.instMag.f
1946,SRC 6 Neutral Current RMS,ACsrcMMXU6.AresRMS.instMag.f
1962,SRC 6 Differential Ground Current Magnitude,ACsrcMMXU6.Adif.instCVal.mag.f
1964,SRC 6 Differential Ground Current Angle,ACsrcMMXU6.Adif.instCVal.ang.f
1CA2,SRC 6 Phase A Real Power,ACsrcMMXU6.W.phsA.instCVal.mag.f
1CA4,SRC 6 Phase B Real Power,ACsrcMMXU6.W.phsB.instCVal.mag.f
1CA6,SRC 6 Phase C Real Power,ACsrcMMXU6.W.phsC.instCVal.mag.f
1CAA,SRC 6 Phase A Reactive Power,ACsrcMMXU6.VAr.phsA.instCVal.mag.f
1CAC,SRC 6 Phase B Reactive Power,ACsrcMMXU6.VAr.phsB.instCVal.mag.f
1CAE,SRC 6 Phase C Reactive Power,ACsrcMMXU6.VAr.phsC.instCVal.mag.f
1CB2,SRC 6 Phase A Apparent Power,ACsrcMMXU6.VA.phsA.instCVal.mag.f
1CB4,SRC 6 Phase B Apparent Power,ACsrcMMXU6.VA.phsB.instCVal.mag.f
1CB6,SRC 6 Phase C Apparent Power,ACsrcMMXU6.VA.phsC.instCVal.mag.f
1CB9,SRC 6 Phase A Power Factor,ACsrcMMXU6.PF.phsA.instCVal.mag.f
1CBA,SRC 6 Phase B Power Factor,ACsrcMMXU6.PF.phsB.instCVal.mag.f
1CBB,SRC 6 Phase C Power Factor,ACsrcMMXU6.PF.phsC.instCVal.mag.f
1A20,SRC 1 Auxiliary Voltage Magnitude,ACsrcMMXN1.Vaux.instCVal.mag.f
1A22,SRC 1 Auxiliary Voltage Angle,ACsrcMMXN1.Vaux.instCVal.ang.f
1A1E,SRC 1 Auxiliary Voltage RMS,ACsrcMMXN1.VauxRMS.instMag.f
1816,SRC 1 Ground Current Magnitude,ACsrcMMXN1.Agnd.instCVal.mag.f
1818,SRC 1 Ground Current Angle,ACsrcMMXN1.Agnd.instCVal.ang.f

1814,SRC 1 Ground Current RMS,ACsrcMMXN1.AgndRMS.instMag.f
1A60,SRC 2 Auxiliary Voltage Magnitude,ACsrcMMXN2.Vaux.instCVal.mag.f
1A62,SRC 2 Auxiliary Voltage Angle,ACsrcMMXN2.Vaux.instCVal.ang.f
1A5E,SRC 2 Auxiliary Voltage RMS,ACsrcMMXN2.VauxRMS.instMag.f
1856,SRC 2 Ground Current Magnitude,ACsrcMMXN2.Agnd.instCVal.mag.f
1858,SRC 2 Ground Current Angle,ACsrcMMXN2.Agnd.instCVal.ang.f
1854,SRC 2 Ground Current RMS,ACsrcMMXN2.AgndRMS.instMag.f
1AA0,SRC 3 Auxiliary Voltage Magnitude,ACsrcMMXN3.Vaux.instCVal.mag.f
1AA2,SRC 3 Auxiliary Voltage Angle,ACsrcMMXN3.Vaux.instCVal.ang.f
1A9E,SRC 3 Auxiliary Voltage RMS,ACsrcMMXN3.VauxRMS.instMag.f
1896,SRC 3 Ground Current Magnitude,ACsrcMMXN3.Agnd.instCVal.mag.f
1898,SRC 3 Ground Current Angle,ACsrcMMXN3.Agnd.instCVal.ang.f
1894,SRC 3 Ground Current RMS,ACsrcMMXN3.AgndRMS.instMag.f
1AE0,SRC 4 Auxiliary Voltage Magnitude,ACsrcMMXN4.Vaux.instCVal.mag.f
1AE2,SRC 4 Auxiliary Voltage Angle,ACsrcMMXN4.Vaux.instCVal.ang.f
1ADE,SRC 4 Auxiliary Voltage RMS,ACsrcMMXN4.VauxRMS.instMag.f
18D6,SRC 4 Ground Current Magnitude,ACsrcMMXN4.Agnd.instCVal.mag.f
18D8,SRC 4 Ground Current Angle,ACsrcMMXN4.Agnd.instCVal.ang.f
18D4,SRC 4 Ground Current RMS,ACsrcMMXN4.AgndRMS.instMag.f
1B20,SRC 5 Auxiliary Voltage Magnitude,ACsrcMMXN5.Vaux.instCVal.mag.f
1B22,SRC 5 Auxiliary Voltage Angle,ACsrcMMXN5.Vaux.instCVal.ang.f
1B1E,SRC 5 Auxiliary Voltage RMS,ACsrcMMXN5.VauxRMS.instMag.f
1916,SRC 5 Ground Current Magnitude,ACsrcMMXN5.Agnd.instCVal.mag.f
1918,SRC 5 Ground Current Angle,ACsrcMMXN5.Agnd.instCVal.ang.f
1914,SRC 5 Ground Current RMS,ACsrcMMXN5.AgndRMS.instMag.f
1B60,SRC 6 Auxiliary Voltage Magnitude,ACsrcMMXN6.Vaux.instCVal.mag.f
1B62,SRC 6 Auxiliary Voltage Angle,ACsrcMMXN6.Vaux.instCVal.ang.f
1B5E,SRC 6 Auxiliary Voltage RMS,ACsrcMMXN6.VauxRMS.instMag.f
1956,SRC 6 Ground Current Magnitude,ACsrcMMXN6.Agnd.instCVal.mag.f
1958,SRC 6 Ground Current Angle,ACsrcMMXN6.Agnd.instCVal.ang.f
1954,SRC 6 Ground Current RMS,ACsrcMMXN6.AgndRMS.instMag.f

1818,SRC 1 Ground Current Angle,ACsrcMMXN1.Agnd.instCVal.ang.f
181C,SRC 1 Positive Sequence Current Magnitude,ACsrcMSQI1.SeqA.c1.instCVal.mag.f
181E,SRC 1 Positive Sequence Current Angle,ACsrcMSQI1.SeqA.c1.instCVal.ang.f
181F,SRC 1 Negative Sequence Current Magnitude,ACsrcMSQI1.SeqA.c2.instCVal.mag.f
1821,SRC 1 Negative Sequence Current Angle,ACsrcMSQI1.SeqA.c2.instCVal.ang.f
1819,SRC 1 Zero Sequence Current Magnitude,ACsrcMSQI1.SeqA.c3.instCVal.mag.f
181B,SRC 1 Zero Sequence Current Angle,ACsrcMSQI1.SeqA.c3.instCVal.ang.f
1A26,SRC 1 Positive Sequence Voltage Magnitude,ACsrcMSQI1.SeqV.c1.instCVal.mag.f
1A28,SRC 1 Positive Sequence Voltage Angle,ACsrcMSQI1.SeqV.c1.instCVal.ang.f
1A29,SRC 1 Negative Sequence Voltage Magnitude,ACsrcMSQI1.SeqV.c2.instCVal.mag.f
1A2B,SRC 1 Negative Sequence Voltage Angle,ACsrcMSQI1.SeqV.c2.instCVal.ang.f
1A23,SRC 1 Zero Sequence Voltage Magnitude,ACsrcMSQI1.SeqV.c3.instCVal.mag.f
1A25,SRC 1 Zero Sequence Voltage Angle,ACsrcMSQI1.SeqV.c3.instCVal.ang.f
185C,SRC 2 Positive Sequence Current Magnitude,ACsrcMSQI2.SeqA.c1.instCVal.mag.f
185E,SRC 2 Positive Sequence Current Angle,ACsrcMSQI2.SeqA.c1.instCVal.ang.f
185F,SRC 2 Negative Sequence Current Magnitude,ACsrcMSQI2.SeqA.c2.instCVal.mag.f
1861,SRC 2 Negative Sequence Current Angle,ACsrcMSQI2.SeqA.c2.instCVal.ang.f
1859,SRC 2 Zero Sequence Current Magnitude,ACsrcMSQI2.SeqA.c3.instCVal.mag.f
185B,SRC 2 Zero Sequence Current Angle,ACsrcMSQI2.SeqA.c3.instCVal.ang.f
1A66,SRC 2 Positive Sequence Voltage Magnitude,ACsrcMSQI2.SeqV.c1.instCVal.mag.f
1A68,SRC 2 Positive Sequence Voltage Angle,ACsrcMSQI2.SeqV.c1.instCVal.ang.f
1A69,SRC 2 Negative Sequence Voltage Magnitude,ACsrcMSQI2.SeqV.c2.instCVal.mag.f
1A6B,SRC 2 Negative Sequence Voltage Angle,ACsrcMSQI2.SeqV.c2.instCVal.ang.f
1A63,SRC 2 Zero Sequence Voltage Magnitude,ACsrcMSQI2.SeqV.c3.instCVal.mag.f
1A65,SRC 2 Zero Sequence Voltage Angle,ACsrcMSQI2.SeqV.c3.instCVal.ang.f
189C,SRC 3 Positive Sequence Current Magnitude,ACsrcMSQI3.SeqA.c1.instCVal.mag.f
189E,SRC 3 Positive Sequence Current Angle,ACsrcMSQI3.SeqA.c1.instCVal.ang.f
189F,SRC 3 Negative Sequence Current Magnitude,ACsrcMSQI3.SeqA.c2.instCVal.mag.f
18A1,SRC 3 Negative Sequence Current Angle,ACsrcMSQI3.SeqA.c2.instCVal.ang.f
1899,SRC 3 Zero Sequence Current Magnitude,ACsrcMSQI3.SeqA.c3.instCVal.mag.f
189B,SRC 3 Zero Sequence Current Angle,ACsrcMSQI3.SeqA.c3.instCVal.ang.f
1AA6,SRC 3 Positive Sequence Voltage Magnitude,ACsrcMSQI3.SeqV.c1.instCVal.mag.f
1AA8,SRC 3 Positive Sequence Voltage Angle,ACsrcMSQI3.SeqV.c1.instCVal.ang.f
1AA9,SRC 3 Negative Sequence Voltage Magnitude,ACsrcMSQI3.SeqV.c2.instCVal.mag.f
1AAB,SRC 3 Negative Sequence Voltage Angle,ACsrcMSQI3.SeqV.c2.instCVal.ang.f
1AA3,SRC 3 Zero Sequence Voltage Magnitude,ACsrcMSQI3.SeqV.c3.instCVal.mag.f
1AA5,SRC 3 Zero Sequence Voltage Angle,ACsrcMSQI3.SeqV.c3.instCVal.ang.f
18DC,SRC 4 Positive Sequence Current Magnitude,ACsrcMSQI4.SeqA.c1.instCVal.mag.f
18DE,SRC 4 Positive Sequence Current Angle,ACsrcMSQI4.SeqA.c1.instCVal.ang.f
18DF,SRC 4 Negative Sequence Current Magnitude,ACsrcMSQI4.SeqA.c2.instCVal.mag.f
18E1,SRC 4 Negative Sequence Current Angle,ACsrcMSQI4.SeqA.c2.instCVal.ang.f
18D9,SRC 4 Zero Sequence Current Magnitude,ACsrcMSQI4.SeqA.c3.instCVal.mag.f
18DB,SRC 4 Zero Sequence Current Angle,ACsrcMSQI4.SeqA.c3.instCVal.ang.f
1AE6,SRC 4 Positive Sequence Voltage Magnitude,ACsrcMSQI4.SeqV.c1.instCVal.mag.f
1AE8,SRC 4 Positive Sequence Voltage Angle,ACsrcMSQI4.SeqV.c1.instCVal.ang.f
1AE9,SRC 4 Negative Sequence Voltage Magnitude,ACsrcMSQI4.SeqV.c2.instCVal.mag.f
1AEB,SRC 4 Negative Sequence Voltage Angle,ACsrcMSQI4.SeqV.c2.instCVal.ang.f
1AE3,SRC 4 Zero Sequence Voltage Magnitude,ACsrcMSQI4.SeqV.c3.instCVal.mag.f
1AE5,SRC 4 Zero Sequence Voltage Angle,ACsrcMSQI4.SeqV.c3.instCVal.ang.f
191C,SRC 5 Positive Sequence Current Magnitude,ACsrcMSQI5.SeqA.c1.instCVal.mag.f
191E,SRC 5 Positive Sequence Current Angle,ACsrcMSQI5.SeqA.c1.instCVal.ang.f
191F,SRC 5 Negative Sequence Current Magnitude,ACsrcMSQI5.SeqA.c2.instCVal.mag.f
1921,SRC 5 Negative Sequence Current Angle,ACsrcMSQI5.SeqA.c2.instCVal.ang.f
1919,SRC 5 Zero Sequence Current Magnitude,ACsrcMSQI5.SeqA.c3.instCVal.mag.f
191B,SRC 5 Zero Sequence Current Angle,ACsrcMSQI5.SeqA.c3.instCVal.ang.f
1B26,SRC 5 Positive Sequence Voltage Magnitude,ACsrcMSQI5.SeqV.c1.instCVal.mag.f
1B28,SRC 5 Positive Sequence Voltage Angle,ACsrcMSQI5.SeqV.c1.instCVal.ang.f
1B29,SRC 5 Negative Sequence Voltage Magnitude,ACsrcMSQI5.SeqV.c2.instCVal.mag.f
1B2B,SRC 5 Negative Sequence Voltage Angle,ACsrcMSQI5.SeqV.c2.instCVal.ang.f
1B23,SRC 5 Zero Sequence Voltage Magnitude,ACsrcMSQI5.SeqV.c3.instCVal.mag.f
1B25,SRC 5 Zero Sequence Voltage Angle,ACsrcMSQI5.SeqV.c3.instCVal.ang.f
195C,SRC 6 Positive Sequence Current Magnitude,ACsrcMSQI6.SeqA.c1.instCVal.mag.f
195E,SRC 6 Positive Sequence Current Angle,ACsrcMSQI6.SeqA.c1.instCVal.ang.f
195F,SRC 6 Negative Sequence Current Magnitude,ACsrcMSQI6.SeqA.c2.instCVal.mag.f
1961,SRC 6 Negative Sequence Current Angle,ACsrcMSQI6.SeqA.c2.instCVal.ang.f
1959,SRC 6 Zero Sequence Current Magnitude,ACsrcMSQI6.SeqA.c3.instCVal.mag.f
195B,SRC 6 Zero Sequence Current Angle,ACsrcMSQI6.SeqA.c3.instCVal.ang.f
1B66,SRC 6 Positive Sequence Voltage Magnitude,ACsrcMSQI6.SeqV.c1.instCVal.mag.f
1B68,SRC 6 Positive Sequence Voltage Angle,ACsrcMSQI6.SeqV.c1.instCVal.ang.f
1B69,SRC 6 Negative Sequence Voltage Magnitude,ACsrcMSQI6.SeqV.c2.instCVal.mag.f
1B6B,SRC 6 Negative Sequence Voltage Angle,ACsrcMSQI6.SeqV.c2.instCVal.ang.f
1B63,SRC 6 Zero Sequence Voltage Magnitude,ACsrcMSQI6.SeqV.c3.instCVal.mag.f
1B65,SRC 6 Zero Sequence Voltage Angle,ACsrcMSQI6.SeqV.c3.instCVal.ang.f
1D00,SRC 1 Positive Watthour,EnrMtrMMTR1.PosTotWh.instMag.f
1D02,SRC 1 Negative Watthour,EnrMtrMMTR1.NegTotWh.instMag.f
1D04,SRC 1 Positive Varhour,EnrMtrMMTR1.PosTotVArh.instMag.f
1D06,SRC 1 Negative Varhour,EnrMtrMMTR1.NegTotVArh.instMag.f
1D10,SRC 2 Positive Watthour,EnrMtrMMTR2.PosTotWh.instMag.f
1D12,SRC 2 Negative Watthour,EnrMtrMMTR2.NegTotWh.instMag.f
1D14,SRC 2 Positive Varhour,EnrMtrMMTR2.PosTotVArh.instMag.f
1D16,SRC 2 Negative Varhour,EnrMtrMMTR2.NegTotVArh.instMag.f
1D20,SRC 3 Positive Watthour,EnrMtrMMTR3.PosTotWh.instMag.f
1D22,SRC 3 Negative Watthour,EnrMtrMMTR3.NegTotWh.instMag.f
1D24,SRC 3 Positive Varhour,EnrMtrMMTR3.PosTotVArh.instMag.f
1D26,SRC 3 Negative Varhour,EnrMtrMMTR3.NegTotVArh.instMag.f
1D30,SRC 4 Positive Watthour,EnrMtrMMTR4.PosTotWh.instMag.f
1D32,SRC 4 Negative Watthour,EnrMtrMMTR4.NegTotWh.instMag.f
1D34,SRC 4 Positive Varhour,EnrMtrMMTR4.PosTotVArh.instMag.f
1D36,SRC 4 Negative Varhour,EnrMtrMMTR4.NegTotVArh.instMag.f
1D40,SRC 5 Positive Watthour,EnrMtrMMTR5.PosTotWh.instMag.f
1D42,SRC 5 Negative Watthour,EnrMtrMMTR5.NegTotWh.instMag.f
1D44,SRC 5 Positive Varhour,EnrMtrMMTR5.PosTotVArh.instMag.f
1D46,SRC 5 Negative Varhour,EnrMtrMMTR5.NegTotVArh.instMag.f
1D50,SRC 6 Positive Watthour,EnrMtrMMTR6.PosTotWh.instMag.f
1D52,SRC 6 Negative Watthour,EnrMtrMMTR6.NegTotWh.instMag.f
1D54,SRC 6 Positive Varhour,EnrMtrMMTR6.PosTotVArh.instMag.f
1D56,SRC 6 Negative Varhour,EnrMtrMMTR6.NegTotVArh.instMag.f
9900,FlexElement 1 Actual,FlxElGAPC1.OpSig.instMag.f
9902,FlexElement 2 Actual,FlxElGAPC2.OpSig.instMag.f
9904,FlexElement 3 Actual,FlxElGAPC3.OpSig.instMag.f
9906,FlexElement 4 Actual,FlxElGAPC4.OpSig.instMag.f
9908,FlexElement 5 Actual,FlxElGAPC5.OpSig.instMag.f
990A,FlexElement 6 Actual,FlxElGAPC6.OpSig.instMag.f
990C,FlexElement 7 Actual,FlxElGAPC7.OpSig.instMag.f
990E,FlexElement 8 Actual,FlxElGAPC8.OpSig.instMag.f
9910,FlexElement 9 Actual,FlxElGAPC9.OpSig.instMag.f
9912,FlexElement 10 Actual,FlxElGAPC10.OpSig.instMag.f
9914,FlexElement 11 Actual,FlxElGAPC11.OpSig.instMag.f
9916,FlexElement 12 Actual,FlxElGAPC12.OpSig.instMag.f
9918,FlexElement 13 Actual,FlxElGAPC13.OpSig.instMag.f
991A,FlexElement 14 Actual,FlxElGAPC14.OpSig.instMag.f
991C,FlexElement 15 Actual,FlxElGAPC15.OpSig.instMag.f
991E,FlexElement 16 Actual,FlxElGAPC16.OpSig.instMag.f
2301,Transformer Differential Phasor Iad Magnitude,PctDifPDIF1.DifAClc.phsA.instCVal.mag.f
2309,Transformer Differential Phasor Ibd Magnitude,PctDifPDIF1.DifAClc.phsB.instCVal.mag.f
2311,Transformer Differential Phasor Icd Magnitude,PctDifPDIF1.DifAClc.phsC.instCVal.mag.f
2302,Transformer Differential Phasor Iad Angle,PctDifPDIF1.DifAClc.phsA.instCVal.ang.f
230A,Transformer Differential Phasor Ibd Angle,PctDifPDIF1.DifAClc.phsB.instCVal.ang.f
2312,Transformer Differential Phasor Icd Angle,PctDifPDIF1.DifAClc.phsC.instCVal.ang.f
2305,Transformer Differential 2nd Harm Iad Magnitude,PctDifPDIF1.DifA2ndH.phsA.instCVal.mag.f
230D,Transformer Differential 2nd Harm Ibd Magnitude,PctDifPDIF1.DifA2ndH.phsB.instCVal.mag.f
2315,Transformer Differential 2nd Harm Icd Magnitude,PctDifPDIF1.DifA2ndH.phsC.instCVal.mag.f
2306,Transformer Differential 2nd Harm Iad Angle,PctDifPDIF1.DifA2ndH.phsA.instCVal.ang.f
230E,Transformer Differential 2nd Harm Ibd Angle,PctDifPDIF1.DifA2ndH.phsB.instCVal.ang.f
2316,Transformer Differential 2nd Harm Icd Angle,PctDifPDIF1.DifA2ndH.phsC.instCVal.ang.f
2307,Transformer Differential 5th Harm Iad Magnitude,PctDifPDIF1.DifA5thH.phsA.instCVal.mag.f
230F,Transformer Differential 5th Harm Ibd Magnitude,PctDifPDIF1.DifA5thH.phsB.instCVal.mag.f
2317,Transformer Differential 5th Harm Icd Magnitude,PctDifPDIF1.DifA5thH.phsC.instCVal.mag.f
2308,Transformer Differential 5th Harm Iad Angle,PctDifPDIF1.DifA5thH.phsA.instCVal.ang.f
2310,Transformer Differential 5th Harm Ibd Angle,PctDifPDIF1.DifA5thH.phsB.instCVal.ang.f
2318,Transformer Differential 5th Harm Icd Angle,PctDifPDIF1.DifA5thH.phsC.instCVal.ang.f

2303,Transformer Restraint Phasor Iar Magnitude,PctDifPDIF1.RstA.phsA.instCVal.mag.f
2304,Transformer Restraint Phasor Iar Angle,PctDifPDIF1.RstA.phsA.instCVal.ang.f
230B,Transformer Restraint Phasor Ibr Magnitude,PctDifPDIF1.RstA.phsB.instCVal.mag.f
230C,Transformer Restraint Phasor Ibr Angle,PctDifPDIF1.RstA.phsB.instCVal.ang.f
2313,Transformer Restraint Phasor Icr Magnitude,PctDifPDIF1.RstA.phsC.instCVal.mag.f
2314,Transformer Restraint Phasor Icr Angle,PctDifPDIF1.RstA.phsC.instCVal.ang.f

2330,Transformer Top Oil Temperature,HPTmpSPTR1.ToOilTmp.instMag.f
2331,Transformer Hottest Spot Temperature,HPTmpSPTR1.HPTmpClc.instMag.f
2332,Transformer Aging Factor,AgeSPTR1.AgeRte.instMag.f

21D0,B90 Bus Zone 1 DMag,B_DifPDIF1.BDifAClc.instCVal.mag.f
21D5,B90 Bus Zone 1 RMag,B_DifPDIF1.BRstA.instCVal.mag.f
21DE,B90 Bus Zone 2 DMag,B_DifPDIF2.BDifAClc.instCVal.mag.f
21E3,B90 Bus Zone 2 RMag,B_DifPDIF2.BRstA.instCVal.mag.f
21EC,B90 Bus Zone 3 DMag,B_DifPDIF3.BDifAClc.instCVal.mag.f
21F1,B90 Bus Zone 3 RMag,B_DifPDIF3.BRstA.instCVal.mag.f
21FA,B90 Bus Zone 4 DMag,B_DifPDIF4.BDifAClc.instCVal.mag.f
21FF,B90 Bus Zone 4 RMag,B_DifPDIF4.BRstA.instCVal.mag.f
2208,B90 Bus Zone 5 DMag,B_DifPDIF5.BDifAClc.instCVal.mag.f
220D,B90 Bus Zone 5 RMag,B_DifPDIF5.BRstA.instCVal.mag.f
2216,B90 Bus Zone 6 DMag,B_DifPDIF6.BDifAClc.instCVal.mag.f
