0,Off,LLN0.Zero.mag.f
24B4,Restraint Current IC,LinDfPDIF1.RstA.phsC.instCVal.mag.f
24B9,Restraint Current IG,LinDfPDIF1.RstA.neut.instCVal.mag.f
2480,Local IA Magnitude,LinDf0MMXU1.A.phsA.instCVal.mag.f
2482,Local IB Magnitude,LinDf0MMXU1.A.phsB.instCVal.mag.f
2484,Local IC Magnitude,LinDf0MMXU1.A.phsC.instCVal.mag.f
2486,Remote1 IA Magnitude,LinDf1MMXU1.A.phsA.instCVal.mag.f
2488,Remote1 IB Magnitude,LinDf1MMXU1.A.phsB.instCVal.mag.f
248A,Remote1 IC Magnitude,LinDf1MMXU1.A.phsC.instCVal.mag.f
248C,Remote2 IA Magnitude,LinDf2MMXU1.A.phsA.instCVal.mag.f
248E,Remote2 IB Magnitude,LinDf2MMXU1.A.phsB.instCVal.mag.f
2490,Remote2 IC Magnitude,LinDf2MMXU1.A.phsC.instCVal.mag.f

1D80,SRC 1 Frequency,HThdMHAI1.Hz.instMag.f
1D82,SRC 2 Frequency,HThdMHAI2.Hz.instMag.f
1D84,SRC 3 Frequency,HThdMHAI3.Hz.instMag.f
1D86,SRC 4 Frequency,HThdMHAI4.Hz.instMag.f
1D88,SRC 5 Frequency,HThdMHAI5.Hz.instMag.f
1D8A,SRC 6 Frequency,HThdMHAI6.Hz.instMag.f

2500,Bus Diff IA Magnitude,BusDifPDIF1.DifAClc.phsA.instCVal.mag.f
2502,Bus Diff IA Angle,BusDifPDIF1.DifAClc.phsA.instCVal.ang.f
2503,Bus Diff IB Magnitude,BusDifPDIF1.DifAClc.phsB.instCVal.mag.f
2505,Bus Diff IB Angle,BusDifPDIF1.DifAClc.phsB.instCVal.ang.f
2506,Bus Diff IC Magnitude,BusDifPDIF1.DifAClc.phsC.instCVal.mag.f
2508,Bus Diff IC Angle,BusDifPDIF1.DifAClc.phsC.instCVal.ang.f
2509,Bus Rest IA Magnitude,BusDifPDIF1.RstA.phsA.instCVal.mag.f
250B,Bus Rest IA Angle,BusDifPDIF1.RstA.phsA.instCVal.ang.f
250C,Bus Rest IB Magnitude,BusDifPDIF1.RstA.phsB.instCVal.mag.f
250E,Bus Rest IB Angle,BusDifPDIF1.RstA.phsB.instCVal.ang.f
250F,Bus Rest IC Magnitude,BusDifPDIF1.RstA.phsC.instCVal.mag.f
2511,Bus Rest IC Angle,BusDifPDIF1.RstA.phsC.instCVal.ang.f
2520,Bus Diff IA Magnitude,BusDifPDIF2.DifAClc.phsA.instCVal.mag.f
2522,Bus Diff IA Angle,BusDifPDIF2.DifAClc.phsA.instCVal.ang.f
2523,Bus Diff IB Magnitude,BusDifPDIF2.DifAClc.phsB.instCVal.mag.f
2525,Bus Diff IB Angle,BusDifPDIF2.DifAClc.phsB.instCVal.ang.f
2526,Bus Diff IC Magnitude,BusDifPDIF2.DifAClc.phsC.instCVal.mag.f
2528,Bus Diff IC Angle,BusDifPDIF2.DifAClc.phsC.instCVal.ang.f
2529,Bus Rest IA Magnitude,BusDifPDIF2.RstA.phsA.instCVal.mag.f
252B,Bus Rest IA Angle,BusDifPDIF2.RstA.phsA.instCVal.ang.f
252C,Bus Rest IB Magnitude,BusDifPDIF2.RstA.phsB.instCVal.mag.f
252E,Bus Rest IB Angle,BusDifPDIF2.RstA.phsB.instCVal.ang.f
252F,Bus Rest IC Magnitude,BusDifPDIF2.RstA.phsC.instCVal.mag.f
2531,Bus Rest IC Angle,BusDifPDIF2.RstA.phsC.instCVal.ang.f
1C00,SRC 1 Three Phase Real Power,ACsrcMMXU1.TotW.instMag.f
1C08,SRC 1 Three Phase Reactive Power,ACsrcMMXU1.TotVAr.instMag.f
1C10,SRC 1 Three Phase Apparent Power,ACsrcMMXU1.TotVA.instMag.f
1C18,SRC 1 Three Phase Power Factor,ACsrcMMXU1.TotPF.instMag.f
