0,Off,@Master/LLN0.Zero.mag.f
2480,Local IA Magnitude,@Prot/LinDf0MMXU1.A.phsA.instCVal.mag.f
2482,Local IB Magnitude,@Prot/LinDf0MMXU1.A.phsB.instCVal.mag.f
2484,Local IC Magnitude,@Prot/LinDf0MMXU1.A.phsC.instCVal.mag.f
2486,Remote1 IA Magnitude,@Prot/LinDf1MMXU1.A.phsA.instCVal.mag.f
2488,Remote1 IB Magnitude,@Prot/LinDf1MMXU1.A.phsB.instCVal.mag.f
248A,Remote1 IC Magnitude,@Prot/LinDf1MMXU1.A.phsC.instCVal.mag.f
248C,Remote2 IA Magnitude,@Prot/LinDf2MMXU1.A.phsA.instCVal.mag.f
248E,Remote2 IB Magnitude,@Prot/LinDf2MMXU1.A.phsB.instCVal.mag.f
2490,Remote2 IC Magnitude,@Prot/LinDf2MMXU1.A.phsC.instCVal.mag.f
2400,Synchrocheck 1 Delta Voltage,@Ctrl/SynChkRSYN1.DifVClc.instMag.f
2402,Synchrocheck 1 Delta Frequency,@Ctrl/SynChkRSYN1.DifHzClc.instMag.f
2403,Synchrocheck 1 Delta Phase,@Ctrl/SynChkRSYN1.DifAngClc.instMag.f
2404,Synchrocheck 2 Delta Voltage,@Ctrl/SynChkRSYN2.DifVClc.instMag.f
2406,Synchrocheck 2 Delta Frequency,@Ctrl/SynChkRSYN2.DifHzClc.instMag.f
2407,Synchrocheck 2 Delta Phase,@Ctrl/SynChkRSYN2.DifAngClc.instMag.f
2408,Synchrocheck 3 Delta Voltage,@Ctrl/SynChkRSYN3.DifVClc.instMag.f
240A,Synchrocheck 3 Delta Frequency,@Ctrl/SynChkRSYN3.DifHzClc.instMag.f
240B,Synchrocheck 3 Delta Phase,@Ctrl/SynChkRSYN3.DifAngClc.instMag.f
240C,Synchrocheck 4 Delta Voltage,@Ctrl/SynChkRSYN4.DifVClc.instMag.f
240E,Synchrocheck 4 Delta Frequency,@Ctrl/SynChkRSYN4.DifHzClc.instMag.f
240F,Synchrocheck 4 Delta Phase,@Ctrl/SynChkRSYN4.DifAngClc.instMag.f
2500,Bus Diff IA Magnitude,@Prot/BusDifPDIF1.DifAClc.phsA.instCVal.mag.f
2502,Bus Diff IA Angle,@Prot/BusDifPDIF1.DifAClc.phsA.instCVal.ang.f
2503,Bus Diff IB Magnitude,@Prot/BusDifPDIF1.DifAClc.phsB.instCVal.mag.f
2505,Bus Diff IB Angle,@Prot/BusDifPDIF1.DifAClc.phsB.instCVal.ang.f
2506,Bus Diff IC Magnitude,@Prot/BusDifPDIF1.DifAClc.phsC.instCVal.mag.f
2508,Bus Diff IC Angle,@Prot/BusDifPDIF1.DifAClc.phsC.instCVal.ang.f
2509,Bus Rest IA Magnitude,@Prot/BusDifPDIF1.RstA.phsA.instCVal.mag.f
250B,Bus Rest IA Angle,@Prot/BusDifPDIF1.RstA.phsA.instCVal.ang.f
250C,Bus Rest IB Magnitude,@Prot/BusDifPDIF1.RstA.phsB.instCVal.mag.f
250E,Bus Rest IB Angle,@Prot/BusDifPDIF1.RstA.phsB.instCVal.ang.f
250F,Bus Rest IC Magnitude,@Prot/BusDifPDIF1.RstA.phsC.instCVal.mag.f
2511,Bus Rest IC Angle,@Prot/BusDifPDIF1.RstA.phsC.instCVal.ang.f
2520,Bus Diff IA Magnitude,@Prot/BusDifPDIF2.DifAClc.phsA.instCVal.mag.f
2522,Bus Diff IA Angle,@Prot/BusDifPDIF2.DifAClc.phsA.instCVal.ang.f
2523,Bus Diff IB Magnitude,@Prot/BusDifPDIF2.DifAClc.phsB.instCVal.mag.f
2525,Bus Diff IB Angle,@Prot/BusDifPDIF2.DifAClc.phsB.instCVal.ang.f
2526,Bus Diff IC Magnitude,@Prot/BusDifPDIF2.DifAClc.phsC.instCVal.mag.f
2528,Bus Diff IC Angle,@Prot/BusDifPDIF2.DifAClc.phsC.instCVal.ang.f
2529,Bus Rest IA Magnitude,@Prot/BusDifPDIF2.RstA.phsA.instCVal.mag.f
252B,Bus Rest IA Angle,@Prot/BusDifPDIF2.RstA.phsA.instCVal.ang.f
252C,Bus Rest IB Magnitude,@Prot/BusDifPDIF2.RstA.phsB.instCVal.mag.f
252E,Bus Rest IB Angle,@Prot/BusDifPDIF2.RstA.phsB.instCVal.ang.f
252F,Bus Rest IC Magnitude,@Prot/BusDifPDIF2.RstA.phsC.instCVal.mag.f
2531,Bus Rest IC Angle,@Prot/BusDifPDIF2.RstA.phsC.instCVal.ang.f
1C00,SRC 1 Three Phase Real Power,@Meter/ACsrcMMXU1.TotW.instMag.f
1C08,SRC 1 Three Phase Reactive Power,@Meter/ACsrcMMXU1.TotVAr.instMag.f
1C10,SRC 1 Three Phase Apparent Power,@Meter/ACsrcMMXU1.TotVA.instMag.f
1C18,SRC 1 Three Phase Power Factor,@Meter/ACsrcMMXU1.TotPF.instMag.f
1D80,SRC 1 Frequency,@Meter/ACsrcMMXU1.Hz.instMag.f
1A15,SRC 1 Phase AB Voltage Magnitude,@Meter/ACsrcMMXU1.PPV.phsAB.instCVal.mag.f
1A17,SRC 1 Phase AB Voltage Angle,@Meter/ACsrcMMXU1.PPV.phsAB.instCVal.ang.f
1A18,SRC 1 Phase BC Voltage Magnitude,@Meter/ACsrcMMXU1.PPV.phsBC.instCVal.mag.f
1A1A,SRC 1 Phase BC Voltage Angle,@Meter/ACsrcMMXU1.PPV.phsBC.instCVal.ang.f
1A1B,SRC 1 Phase CA Voltage Magnitude,@Meter/ACsrcMMXU1.PPV.phsCA.instCVal.mag.f
1A1D,SRC 1 Phase CA Voltage Angle,@Meter/ACsrcMMXU1.PPV.phsCA.instCVal.ang.f
1A0F,SRC 1 Phase AB Voltage RMS,@Meter/ACsrcMMXU1.VabRMS.instMag.f
1A11,SRC 1 Phase BC Voltage RMS,@Meter/ACsrcMMXU1.VbcRMS.instMag.f
