0,Off,@Master/LLN0.Zero.mag.f
1AD3,SRC 4 Phase CA Voltage RMS,@Meter/ACsrcMMXU4.VcaRMS.instMag.f
1AC6,SRC 4 Phase AG Voltage Magnitude,@Meter/ACsrcMMXU4.PhV.phsA.instCVal.mag.f
1AC8,SRC 4 Phase AG Voltage Angle,@Meter/ACsrcMMXU4.PhV.phsA.instCVal.ang.f
1AC9,SRC 4 Phase BG Voltage Magnitude,@Meter/ACsrcMMXU4.PhV.phsB.instCVal.mag.f
1ACB,SRC 4 Phase BG Voltage Angle,@Meter/ACsrcMMXU4.PhV.phsB.instCVal.ang.f
1ACC,SRC 4 Phase CG Voltage Magnitude,@Meter/ACsrcMMXU4.PhV.phsC.instCVal.mag.f
1ACE,SRC 4 Phase CG Voltage Angle,@Meter/ACsrcMMXU4.PhV.phsC.instCVal.ang.f
1AC0,SRC 4 Phase AG Voltage RMS,@Meter/ACsrcMMXU4.VaRMS.instMag.f
1AC2,SRC 4 Phase BG Voltage RMS,@Meter/ACsrcMMXU4.VbRMS.instMag.f
1AC4,SRC 4 Phase CG Voltage RMS,@Meter/ACsrcMMXU4.VcRMS.instMag.f
18C8,SRC 4 Phase A Current Magnitude,@Meter/ACsrcMMXU4.A.phsA.instCVal.mag.f
18CA,SRC 4 Phase A Current Angle,@Meter/ACsrcMMXU4.A.phsA.instCVal.ang.f
18CB,SRC 4 Phase B Current Magnitude,@Meter/ACsrcMMXU4.A.phsB.instCVal.mag.f
18CD,SRC 4 Phase B Current Angle,@Meter/ACsrcMMXU4.A.phsB.instCVal.ang.f
18CE,SRC 4 Phase C Current Magnitude,@Meter/ACsrcMMXU4.A.phsC.instCVal.mag.f
18D0,SRC 4 Phase C Current Angle,@Meter/ACsrcMMXU4.A.phsC.instCVal.ang.f
18D1,SRC 4 Neutral Current Magnitude,@Meter/ACsrcMMXU4.A.res.instCVal.mag.f
18D3,SRC 4 Neutral Current Angle,@Meter/ACsrcMMXU4.A.res.instCVal.ang.f
18C0,SRC 4 Phase A Current RMS,@Meter/ACsrcMMXU4.AaRMS.instMag.f
18C2,SRC 4 Phase B Current RMS,@Meter/ACsrcMMXU4.AbRMS.instMag.f
18C4,SRC 4 Phase C Current RMS,@Meter/ACsrcMMXU4.AcRMS.instMag.f
18C6,SRC 4 Neutral Current RMS,@Meter/ACsrcMMXU4.AresRMS.instMag.f
18E2,SRC 4 Differential Ground Current Magnitude,@Meter/ACsrcMMXU4.Adif.instCVal.mag.f
18E4,SRC 4 Differential Ground Current Angle,@Meter/ACsrcMMXU4.Adif.instCVal.ang.f
1C62,SRC 4 Phase A Real Power,@Meter/ACsrcMMXU4.W.phsA.instCVal.mag.f
1C64,SRC 4 Phase B Real Power,@Meter/ACsrcMMXU4.W.phsB.instCVal.mag.f
1C66,SRC 4 Phase C Real Power,@Meter/ACsrcMMXU4.W.phsC.instCVal.mag.f
1C6A,SRC 4 Phase A Reactive Power,@Meter/ACsrcMMXU4.VAr.phsA.instCVal.mag.f
1C6C,SRC 4 Phase B Reactive Power,@Meter/ACsrcMMXU4.VAr.phsB.instCVal.mag.f
1C6E,SRC 4 Phase C Reactive Power,@Meter/ACsrcMMXU4.VAr.phsC.instCVal.mag.f
1C72,SRC 4 Phase A Apparent Power,@Meter/ACsrcMMXU4.VA.phsA.instCVal.mag.f
1C74,SRC 4 Phase B Apparent Power,@Meter/ACsrcMMXU4.VA.phsB.instCVal.mag.f
1C76,SRC 4 Phase C Apparent Power,@Meter/ACsrcMMXU4.VA.phsC.instCVal.mag.f
1C79,SRC 4 Phase A Power Factor,@Meter/ACsrcMMXU4.PF.phsA.instCVal.mag.f
1C7A,SRC 4 Phase B Power Factor,@Meter/ACsrcMMXU4.PF.phsB.instCVal.mag.f
1C7B,SRC 4 Phase C Power Factor,@Meter/ACsrcMMXU4.PF.phsC.instCVal.mag.f
1C80,SRC 5 Three Phase Real Power,@Meter/ACsrcMMXU5.TotW.instMag.f
1C88,SRC 5 Three Phase Reactive Power,@Meter/ACsrcMMXU5.TotVAr.instMag.f
1C90,SRC 5 Three Phase Apparent Power,@Meter/ACsrcMMXU5.TotVA.instMag.f
1C98,SRC 5 Three Phase Power Factor,@Meter/ACsrcMMXU5.TotPF.instMag.f
1D88,SRC 5 Frequency,@Meter/ACsrcMMXU5.Hz.instMag.f
1B15,SRC 5 Phase AB Voltage Magnitude,@Meter/ACsrcMMXU5.PPV.phsAB.instCVal.mag.f
1B17,SRC 5 Phase AB Voltage Angle,@Meter/ACsrcMMXU5.PPV.phsAB.instCVal.ang.f
1B18,SRC 5 Phase BC Voltage Magnitude,@Meter/ACsrcMMXU5.PPV.phsBC.instCVal.mag.f
1B1A,SRC 5 Phase BC Voltage Angle,@Meter/ACsrcMMXU5.PPV.phsBC.instCVal.ang.f
1B1B,SRC 5 Phase CA Voltage Magnitude,@Meter/ACsrcMMXU5.PPV.phsCA.instCVal.mag.f
1B1D,SRC 5 Phase CA Voltage Angle,@Meter/ACsrcMMXU5.PPV.phsCA.instCVal.ang.f
1B0F,SRC 5 Phase AB Voltage RMS,@Meter/ACsrcMMXU5.VabRMS.instMag.f
1B11,SRC 5 Phase BC Voltage RMS,@Meter/ACsrcMMXU5.VbcRMS.instMag.f
1B13,SRC 5 Phase CA Voltage RMS,@Meter/ACsrcMMXU5.VcaRMS.instMag.f
1B06,SRC 5 Phase AG Voltage Magnitude,@Meter/ACsrcMMXU5.PhV.phsA.instCVal.mag.f
1B08,SRC 5 Phase AG Voltage Angle,@Meter/ACsrcMMXU5.PhV.phsA.instCVal.ang.f
1B09,SRC 5 Phase BG Voltage Magnitude,@Meter/ACsrcMMXU5.PhV.phsB.instCVal.mag.f
1B0B,SRC 5 Phase BG Voltage Angle,@Meter/ACsrcMMXU5.PhV.phsB.instCVal.ang.f
1B0C,SRC 5 Phase CG Voltage Magnitude,@Meter/ACsrcMMXU5.PhV.phsC.instCVal.mag.f
1B0E,SRC 5 Phase CG Voltage Angle,@Meter/ACsrcMMXU5.PhV.phsC.instCVal.ang.f
1B00,SRC 5 Phase AG Voltage RMS,@Meter/ACsrcMMXU5.VaRMS.instMag.f
1B02,SRC 5 Phase BG Voltage RMS,@Meter/ACsrcMMXU5.VbRMS.instMag.f
1B04,SRC 5 Phase CG Voltage RMS,@Meter/ACsrcMMXU5.VcRMS.instMag.f
1908,SRC 5 Phase A Current Magnitude,@Meter/ACsrcMMXU5.A.phsA.instCVal.mag.f
190A,SRC 5 Phase A Current Angle,@Meter/ACsrcMMXU5.A.phsA.instCVal.ang.f
190B,SRC 5 Phase B Current Magnitude,@Meter/ACsrcMMXU5.A.phsB.instCVal.mag.f
190D,SRC 5 Phase B Current Angle,@Meter/ACsrcMMXU5.A.phsB.instCVal.ang.f
190E,SRC 5 Phase C Current Magnitude,@Meter/ACsrcMMXU5.A.phsC.instCVal.mag.f
1910,SRC 5 Phase C Current Angle,@Meter/ACsrcMMXU5.A.phsC.instCVal.ang.f
1911,SRC 5 Neutral Current Magnitude,@Meter/ACsrcMMXU5.A.res.instCVal.mag.f
1913,SRC 5 Neutral Current Angle,@Meter/ACsrcMMXU5.A.res.instCVal.ang.f
1900,SRC 5 Phase A Current RMS,@Meter/ACsrcMMXU5.AaRMS.instMag.f
1902,SRC 5 Phase B Current RMS,@Meter/ACsrcMMXU5.AbRMS.instMag.f
1904,SRC 5 Phase C Current RMS,@Meter/ACsrcMMXU5.AcRMS.instMag.f
1906,SRC 5 Neutral Current RMS,@Meter/ACsrcMMXU5.AresRMS.instMag.f
1922,SRC 5 Differential Ground Current Magnitude,@Meter/ACsrcMMXU5.Adif.instCVal.mag.f
1924,SRC 5 Differential Ground Current Angle,@Meter/ACsrcMMXU5.Adif.instCVal.ang.f
1C82,SRC 5 Phase A Real Power,@Meter/ACsrcMMXU5.W.phsA.instCVal.mag.f
1C84,SRC 5 Phase B Real Power,@Meter/ACsrcMMXU5.W.phsB.instCVal.mag.f
1C86,SRC 5 Phase C Real Power,@Meter/ACsrcMMXU5.W.phsC.instCVal.mag.f
1C8A,SRC 5 Phase A Reactive Power,@Meter/ACsrcMMXU5.VAr.phsA.instCVal.mag.f
1C8C,SRC 5 Phase B Reactive Power,@Meter/ACsrcMMXU5.VAr.phsB.instCVal.mag.f
1C8E,SRC 5 Phase C Reactive Power,@Meter/ACsrcMMXU5.VAr.phsC.instCVal.mag.f
1C92,SRC 5 Phase A Apparent Power,@Meter/ACsrcMMXU5.VA.phsA.instCVal.mag.f
1C94,SRC 5 Phase B Apparent Power,@Meter/ACsrcMMXU5.VA.phsB.instCVal.mag.f
1C96,SRC 5 Phase C Apparent Power,@Meter/ACsrcMMXU5.VA.phsC.instCVal.mag.f
1C99,SRC 5 Phase A Power Factor,@Meter/ACsrcMMXU5.PF.phsA.instCVal.mag.f
1C9A,SRC 5 Phase B Power Factor,@Meter/ACsrcMMXU5.PF.phsB.instCVal.mag.f
1C9B,SRC 5 Phase C Power Factor,@Meter/ACsrcMMXU5.PF.phsC.instCVal.mag.f
1CA0,SRC 6 Three Phase Real Power,@Meter/ACsrcMMXU6.TotW.instMag.f
1CA8,SRC 6 Three Phase Reactive Power,@Meter/ACsrcMMXU6.TotVAr.instMag.f
1CB0,SRC 6 Three Phase Apparent Power,@Meter/ACsrcMMXU6.TotVA.instMag.f
1CB8,SRC 6 Three Phase Power Factor,@Meter/ACsrcMMXU6.TotPF.instMag.f
1D8A,SRC 6 Frequency,@Meter/ACsrcMMXU6.Hz.instMag.f
1B55,SRC 6 Phase AB Voltage Magnitude,@Meter/ACsrcMMXU6.PPV.phsAB.instCVal.mag.f
1B57,SRC 6 Phase AB Voltage Angle,@Meter/ACsrcMMXU6.PPV.phsAB.instCVal.ang.f
1B58,SRC 6 Phase BC Voltage Magnitude,@Meter/ACsrcMMXU6.PPV.phsBC.instCVal.mag.f
1B5A,SRC 6 Phase BC Voltage Angle,@Meter/ACsrcMMXU6.PPV.phsBC.instCVal.ang.f
1B5B,SRC 6 Phase CA Voltage Magnitude,@Meter/ACsrcMMXU6.PPV.phsCA.instCVal.mag.f
1B5D,SRC 6 Phase CA Voltage Angle,@Meter/ACsrcMMXU6.PPV.phsCA.instCVal.ang.f
1B4F,SRC 6 Phase AB Voltage RMS,@Meter/ACsrcMMXU6.VabRMS.instMag.f
1B51,SRC 6 Phase BC Voltage RMS,@Meter/ACsrcMMXU6.VbcRMS.instMag.f
1B53,SRC 6 Phase CA Voltage RMS,@Meter/ACsrcMMXU6.VcaRMS.instMag.f
1B46,SRC 6 Phase AG Voltage Magnitude,@Meter/ACsrcMMXU6.PhV.phsA.instCVal.mag.f
1B48,SRC 6 Phase AG Voltage Angle,@Meter/ACsrcMMXU6.PhV.phsA.instCVal.ang.f
1B49,SRC 6 Phase BG Voltage Magnitude,@Meter/ACsrcMMXU6.PhV.phsB.instCVal.mag.f
1B4B,SRC 6 Phase BG Voltage Angle,@Meter/ACsrcMMXU6.PhV.phsB.instCVal.ang.f
1B4C,SRC 6 Phase CG Voltage Magnitude,@Meter/ACsrcMMXU6.PhV.phsC.instCVal.mag.f
1B4E,SRC 6 Phase CG Voltage Angle,@Meter/ACsrcMMXU6.PhV.phsC.instCVal.ang.f
1B40,SRC 6 Phase AG Voltage RMS,@Meter/ACsrcMMXU6.VaRMS.instMag.f
1B42,SRC 6 Phase BG Voltage RMS,@Meter/ACsrcMMXU6.VbRMS.instMag.f
1B44,SRC 6 Phase CG Voltage RMS,@Meter/ACsrcMMXU6.VcRMS.instMag.f
1948,SRC 6 Phase A Current Magnitude,@Meter/ACsrcMMXU6.A.phsA.instCVal.mag.f
194A,SRC 6 Phase A Current Angle,@Meter/ACsrcMMXU6.A.phsA.instCVal.ang.f
194B,SRC 6 Phase B Current Magnitude,@Meter/ACsrcMMXU6.A.phsB.instCVal.mag.f
194D,SRC 6 Phase B Current Angle,@Meter/ACsrcMMXU6.A.phsB.instCVal.ang.f
194E,SRC 6 Phase C Current Magnitude,@Meter/ACsrcMMXU6.A.phsC.instCVal.mag.f
1950,SRC 6 Phase C Current Angle,@Meter/ACsrcMMXU6.A.phsC.instCVal.ang.f
1951,SRC 6 Neutral Current Magnitude,@Meter/ACsrcMMXU6.A.res.instCVal.mag.f
1953,SRC 6 Neutral Current Angle,@Meter/ACsrcMMXU6.A.res.instCVal.ang.f
1940,SRC 6 Phase A Current RMS,@Meter/ACsrcMMXU6.AaRMS.instMag.f
1942,SRC 6 Phase B Current RMS,@Meter/ACsrcMMXU6.AbRMS.instMag.f
1944,SRC 6 Phase C Current RMS,@Meter/ACsrcMMXU6.AcRMS.instMag.f
1946,SRC 6 Neutral Current RMS,@Meter/ACsrcMMXU6.AresRMS.instMag.f
1962,SRC 6 Differential Ground Current Magnitude,@Meter/ACsrcMMXU6.Adif.instCVal.mag.f
1964,SRC 6 Differential Ground Current Angle,@Meter/ACsrcMMXU6.Adif.instCVal.ang.f
1CA2,SRC 6 Phase A Real Power,@Meter/ACsrcMMXU6.W.phsA.instCVal.mag.f
1CA4,SRC 6 Phase B Real Power,@Meter/ACsrcMMXU6.W.phsB.instCVal.mag.f
1CA6,SRC 6 Phase C Real Power,@Meter/ACsrcMMXU6.W.phsC.instCVal.mag.f
1CAA,SRC 6 Phase A Reactive Power,@Meter/ACsrcMMXU6.VAr.phsA.instCVal.mag.f
1CAC,SRC 6 Phase B Reactive Power,@Meter/ACsrcMMXU6.VAr.phsB.instCVal.mag.f
1CAE,SRC 6 Phase C Reactive Power,@Meter/ACsrcMMXU6.VAr.phsC.instCVal.mag.f
1CB2,SRC 6 Phase A Apparent Power,@Meter/ACsrcMMXU6.VA.phsA.instCVal.mag.f
1CB4,SRC 6 Phase B Apparent Power,@Meter/ACsrcMMXU6.VA.phsB.instCVal.mag.f
1CB6,SRC 6 Phase C Apparent Power,@Meter/ACsrcMMXU6.VA.phsC.instCVal.mag.f
1CB9,SRC 6 Phase A Power Factor,@Meter/ACsrcMMXU6.PF.phsA.instCVal.mag.f
1CBA,SRC 6 Phase B Power Factor,@Meter/ACsrcMMXU6.PF.phsB.instCVal.mag.f
1CBB,SRC 6 Phase C Power Factor,@Meter/ACsrcMMXU6.PF.phsC.instCVal.mag.f
1A20,SRC 1 Auxiliary Voltage Magnitude,@Meter/ACsrcMMXN1.Vaux.instCVal.mag.f
1A22,SRC 1 Auxiliary Voltage Angle,@Meter/ACsrcMMXN1.Vaux.instCVal.ang.f
1A1E,SRC 1 Auxiliary Voltage RMS,@Meter/ACsrcMMXN1.VauxRMS.instMag.f
1816,SRC 1 Ground Current Magnitude,@Meter/ACsrcMMXN1.Agnd.instCVal.mag.f
1818,SRC 1 Ground Current Angle,@Meter/ACsrcMMXN1.Agnd.instCVal.ang.f

1814,SRC 1 Ground Current RMS,@Meter/ACsrcMMXN1.AgndRMS.instMag.f
1A60,SRC 2 Auxiliary Voltage Magnitude,@Meter/ACsrcMMXN2.Vaux.instCVal.mag.f
1A62,SRC 2 Auxiliary Voltage Angle,@Meter/ACsrcMMXN2.Vaux.instCVal.ang.f
1A5E,SRC 2 Auxiliary Voltage RMS,@Meter/ACsrcMMXN2.VauxRMS.instMag.f
1856,SRC 2 Ground Current Magnitude,@Meter/ACsrcMMXN2.Agnd.instCVal.mag.f
1858,SRC 2 Ground Current Angle,@Meter/ACsrcMMXN2.Agnd.instCVal.ang.f
1854,SRC 2 Ground Current RMS,@Meter/ACsrcMMXN2.AgndRMS.instMag.f
1AA0,SRC 3 Auxiliary Voltage Magnitude,@Meter/ACsrcMMXN3.Vaux.instCVal.mag.f
1AA2,SRC 3 Auxiliary Voltage Angle,@Meter/ACsrcMMXN3.Vaux.instCVal.ang.f
1A9E,SRC 3 Auxiliary Voltage RMS,@Meter/ACsrcMMXN3.VauxRMS.instMag.f
1896,SRC 3 Ground Current Magnitude,@Meter/ACsrcMMXN3.Agnd.instCVal.mag.f
1898,SRC 3 Ground Current Angle,@Meter/ACsrcMMXN3.Agnd.instCVal.ang.f
1894,SRC 3 Ground Current RMS,@Meter/ACsrcMMXN3.AgndRMS.instMag.f
1AE0,SRC 4 Auxiliary Voltage Magnitude,@Meter/ACsrcMMXN4.Vaux.instCVal.mag.f
1AE2,SRC 4 Auxiliary Voltage Angle,@Meter/ACsrcMMXN4.Vaux.instCVal.ang.f
1ADE,SRC 4 Auxiliary Voltage RMS,@Meter/ACsrcMMXN4.VauxRMS.instMag.f
18D6,SRC 4 Ground Current Magnitude,@Meter/ACsrcMMXN4.Agnd.instCVal.mag.f
18D8,SRC 4 Ground Current Angle,@Meter/ACsrcMMXN4.Agnd.instCVal.ang.f
18D4,SRC 4 Ground Current RMS,@Meter/ACsrcMMXN4.AgndRMS.instMag.f
1B20,SRC 5 Auxiliary Voltage Magnitude,@Meter/ACsrcMMXN5.Vaux.instCVal.mag.f
1B22,SRC 5 Auxiliary Voltage Angle,@Meter/ACsrcMMXN5.Vaux.instCVal.ang.f
1B1E,SRC 5 Auxiliary Voltage RMS,@Meter/ACsrcMMXN5.VauxRMS.instMag.f
1916,SRC 5 Ground Current Magnitude,@Meter/ACsrcMMXN5.Agnd.instCVal.mag.f
1918,SRC 5 Ground Current Angle,@Meter/ACsrcMMXN5.Agnd.instCVal.ang.f
1914,SRC 5 Ground Current RMS,@Meter/ACsrcMMXN5.AgndRMS.instMag.f
1B60,SRC 6 Auxiliary Voltage Magnitude,@Meter/ACsrcMMXN6.Vaux.instCVal.mag.f
1B62,SRC 6 Auxiliary Voltage Angle,@Meter/ACsrcMMXN6.Vaux.instCVal.ang.f
1B5E,SRC 6 Auxiliary Voltage RMS,@Meter/ACsrcMMXN6.VauxRMS.instMag.f
1956,SRC 6 Ground Current Magnitude,@Meter/ACsrcMMXN6.Agnd.instCVal.mag.f
1958,SRC 6 Ground Current Angle,@Meter/ACsrcMMXN6.Agnd.instCVal.ang.f
1954,SRC 6 Ground Current RMS,@Meter/ACsrcMMXN6.AgndRMS.instMag.f
181C,SRC 1 Positive Sequence Current Magnitude,@Meter/ACsrcMSQI1.SeqA.c1.instCVal.mag.f
181E,SRC 1 Positive Sequence Current Angle,@Meter/ACsrcMSQI1.SeqA.c1.instCVal.ang.f
181F,SRC 1 Negative Sequence Current Magnitude,@Meter/ACsrcMSQI1.SeqA.c2.instCVal.mag.f
1821,SRC 1 Negative Sequence Current Angle,@Meter/ACsrcMSQI1.SeqA.c2.instCVal.ang.f
1819,SRC 1 Zero Sequence Current Magnitude,@Meter/ACsrcMSQI1.SeqA.c3.instCVal.mag.f
181B,SRC 1 Zero Sequence Current Angle,@Meter/ACsrcMSQI1.SeqA.c3.instCVal.ang.f
1A26,SRC 1 Positive Sequence Voltage Magnitude,@Meter/ACsrcMSQI1.SeqV.c1.instCVal.mag.f
1A28,SRC 1 Positive Sequence Voltage Angle,@Meter/ACsrcMSQI1.SeqV.c1.instCVal.ang.f
1A29,SRC 1 Negative Sequence Voltage Magnitude,@Meter/ACsrcMSQI1.SeqV.c2.instCVal.mag.f
1A2B,SRC 1 Negative Sequence Voltage Angle,@Meter/ACsrcMSQI1.SeqV.c2.instCVal.ang.f
1A23,SRC 1 Zero Sequence Voltage Magnitude,@Meter/ACsrcMSQI1.SeqV.c3.instCVal.mag.f
1A25,SRC 1 Zero Sequence Voltage Angle,@Meter/ACsrcMSQI1.SeqV.c3.instCVal.ang.f
185C,SRC 2 Positive Sequence Current Magnitude,@Meter/ACsrcMSQI2.SeqA.c1.instCVal.mag.f
185E,SRC 2 Positive Sequence Current Angle,@Meter/ACsrcMSQI2.SeqA.c1.instCVal.ang.f
185F,SRC 2 Negative Sequence Current Magnitude,@Meter/ACsrcMSQI2.SeqA.c2.instCVal.mag.f
1861,SRC 2 Negative Sequence Current Angle,@Meter/ACsrcMSQI2.SeqA.c2.instCVal.ang.f
1859,SRC 2 Zero Sequence Current Magnitude,@Meter/ACsrcMSQI2.SeqA.c3.instCVal.mag.f
185B,SRC 2 Zero Sequence Current Angle,@Meter/ACsrcMSQI2.SeqA.c3.instCVal.ang.f
1A66,SRC 2 Positive Sequence Voltage Magnitude,@Meter/ACsrcMSQI2.SeqV.c1.instCVal.mag.f
1A68,SRC 2 Positive Sequence Voltage Angle,@Meter/ACsrcMSQI2.SeqV.c1.instCVal.ang.f
1A69,SRC 2 Negative Sequence Voltage Magnitude,@Meter/ACsrcMSQI2.SeqV.c2.instCVal.mag.f
1A6B,SRC 2 Negative Sequence Voltage Angle,@Meter/ACsrcMSQI2.SeqV.c2.instCVal.ang.f
1A63,SRC 2 Zero Sequence Voltage Magnitude,@Meter/ACsrcMSQI2.SeqV.c3.instCVal.mag.f
1A65,SRC 2 Zero Sequence Voltage Angle,@Meter/ACsrcMSQI2.SeqV.c3.instCVal.ang.f
189C,SRC 3 Positive Sequence Current Magnitude,@Meter/ACsrcMSQI3.SeqA.c1.instCVal.mag.f
189E,SRC 3 Positive Sequence Current Angle,@Meter/ACsrcMSQI3.SeqA.c1.instCVal.ang.f
189F,SRC 3 Negative Sequence Current Magnitude,@Meter/ACsrcMSQI3.SeqA.c2.instCVal.mag.f
18A1,SRC 3 Negative Sequence Current Angle,@Meter/ACsrcMSQI3.SeqA.c2.instCVal.ang.f
1899,SRC 3 Zero Sequence Current Magnitude,@Meter/ACsrcMSQI3.SeqA.c3.instCVal.mag.f
189B,SRC 3 Zero Sequence Current Angle,@Meter/ACsrcMSQI3.SeqA.c3.instCVal.ang.f
1AA6,SRC 3 Positive Sequence Voltage Magnitude,@Meter/ACsrcMSQI3.SeqV.c1.instCVal.mag.f
1AA8,SRC 3 Positive Sequence Voltage Angle,@Meter/ACsrcMSQI3.SeqV.c1.instCVal.ang.f
1AA9,SRC 3 Negative Sequence Voltage Magnitude,@Meter/ACsrcMSQI3.SeqV.c2.instCVal.mag.f
1AAB,SRC 3 Negative Sequence Voltage Angle,@Meter/ACsrcMSQI3.SeqV.c2.instCVal.ang.f
1AA3,SRC 3 Zero Sequence Voltage Magnitude,@Meter/ACsrcMSQI3.SeqV.c3.instCVal.mag.f
1AA5,SRC 3 Zero Sequence Voltage Angle,@Meter/ACsrcMSQI3.SeqV.c3.instCVal.ang.f
18DC,SRC 4 Positive Sequence Current Magnitude,@Meter/ACsrcMSQI4.SeqA.c1.instCVal.mag.f
18DE,SRC 4 Positive Sequence Current Angle,@Meter/ACsrcMSQI4.SeqA.c1.instCVal.ang.f
18DF,SRC 4 Negative Sequence Current Magnitude,@Meter/ACsrcMSQI4.SeqA.c2.instCVal.mag.f
18E1,SRC 4 Negative Sequence Current Angle,@Meter/ACsrcMSQI4.SeqA.c2.instCVal.ang.f
18D9,SRC 4 Zero Sequence Current Magnitude,@Meter/ACsrcMSQI4.SeqA.c3.instCVal.mag.f
18DB,SRC 4 Zero Sequence Current Angle,@Meter/ACsrcMSQI4.SeqA.c3.instCVal.ang.f
1AE6,SRC 4 Positive Sequence Voltage Magnitude,@Meter/ACsrcMSQI4.SeqV.c1.instCVal.mag.f
1AE8,SRC 4 Positive Sequence Voltage Angle,@Meter/ACsrcMSQI4.SeqV.c1.instCVal.ang.f
1AE9,SRC 4 Negative Sequence Voltage Magnitude,@Meter/ACsrcMSQI4.SeqV.c2.instCVal.mag.f
1AEB,SRC 4 Negative Sequence Voltage Angle,@Meter/ACsrcMSQI4.SeqV.c2.instCVal.ang.f
1AE3,SRC 4 Zero Sequence Voltage Magnitude,@Meter/ACsrcMSQI4.SeqV.c3.instCVal.mag.f
1AE5,SRC 4 Zero Sequence Voltage Angle,@Meter/ACsrcMSQI4.SeqV.c3.instCVal.ang.f
191C,SRC 5 Positive Sequence Current Magnitude,@Meter/ACsrcMSQI5.SeqA.c1.instCVal.mag.f
191E,SRC 5 Positive Sequence Current Angle,@Meter/ACsrcMSQI5.SeqA.c1.instCVal.ang.f
191F,SRC 5 Negative Sequence Current Magnitude,@Meter/ACsrcMSQI5.SeqA.c2.instCVal.mag.f
1921,SRC 5 Negative Sequence Current Angle,@Meter/ACsrcMSQI5.SeqA.c2.instCVal.ang.f
1919,SRC 5 Zero Sequence Current Magnitude,@Meter/ACsrcMSQI5.SeqA.c3.instCVal.mag.f
191B,SRC 5 Zero Sequence Current Angle,@Meter/ACsrcMSQI5.SeqA.c3.instCVal.ang.f
1B26,SRC 5 Positive Sequence Voltage Magnitude,@Meter/ACsrcMSQI5.SeqV.c1.instCVal.mag.f
1B28,SRC 5 Positive Sequence Voltage Angle,@Meter/ACsrcMSQI5.SeqV.c1.instCVal.ang.f
1B29,SRC 5 Negative Sequence Voltage Magnitude,@Meter/ACsrcMSQI5.SeqV.c2.instCVal.mag.f
1B2B,SRC 5 Negative Sequence Voltage Angle,@Meter/ACsrcMSQI5.SeqV.c2.instCVal.ang.f
1B23,SRC 5 Zero Sequence Voltage Magnitude,@Meter/ACsrcMSQI5.SeqV.c3.instCVal.mag.f
1B25,SRC 5 Zero Sequence Voltage Angle,@Meter/ACsrcMSQI5.SeqV.c3.instCVal.ang.f
195C,SRC 6 Positive Sequence Current Magnitude,@Meter/ACsrcMSQI6.SeqA.c1.instCVal.mag.f
195E,SRC 6 Positive Sequence Current Angle,@Meter/ACsrcMSQI6.SeqA.c1.instCVal.ang.f
195F,SRC 6 Negative Sequence Current Magnitude,@Meter/ACsrcMSQI6.SeqA.c2.instCVal.mag.f
1961,SRC 6 Negative Sequence Current Angle,@Meter/ACsrcMSQI6.SeqA.c2.instCVal.ang.f
1959,SRC 6 Zero Sequence Current Magnitude,@Meter/ACsrcMSQI6.SeqA.c3.instCVal.mag.f
195B,SRC 6 Zero Sequence Current Angle,@Meter/ACsrcMSQI6.SeqA.c3.instCVal.ang.f
1B66,SRC 6 Positive Sequence Voltage Magnitude,@Meter/ACsrcMSQI6.SeqV.c1.instCVal.mag.f
1B68,SRC 6 Positive Sequence Voltage Angle,@Meter/ACsrcMSQI6.SeqV.c1.instCVal.ang.f
1B69,SRC 6 Negative Sequence Voltage Magnitude,@Meter/ACsrcMSQI6.SeqV.c2.instCVal.mag.f
1B6B,SRC 6 Negative Sequence Voltage Angle,@Meter/ACsrcMSQI6.SeqV.c2.instCVal.ang.f
1B63,SRC 6 Zero Sequence Voltage Magnitude,@Meter/ACsrcMSQI6.SeqV.c3.instCVal.mag.f
1B65,SRC 6 Zero Sequence Voltage Angle,@Meter/ACsrcMSQI6.SeqV.c3.instCVal.ang.f
1D00,SRC 1 Positive Watthour,@Meter/EnrMtrMMTR1.PosTotWh.instMag.f
1D02,SRC 1 Negative Watthour,@Meter/EnrMtrMMTR1.NegTotWh.instMag.f
1D04,SRC 1 Positive Varhour,@Meter/EnrMtrMMTR1.PosTotVArh.instMag.f
1D06,SRC 1 Negative Varhour,@Meter/EnrMtrMMTR1.NegTotVArh.instMag.f
1D10,SRC 2 Positive Watthour,@Meter/EnrMtrMMTR2.PosTotWh.instMag.f
1D12,SRC 2 Negative Watthour,@Meter/EnrMtrMMTR2.NegTotWh.instMag.f
1D14,SRC 2 Positive Varhour,@Meter/EnrMtrMMTR2.PosTotVArh.instMag.f
1D16,SRC 2 Negative Varhour,@Meter/EnrMtrMMTR2.NegTotVArh.instMag.f
1D20,SRC 3 Positive Watthour,@Meter/EnrMtrMMTR3.PosTotWh.instMag.f
1D22,SRC 3 Negative Watthour,@Meter/EnrMtrMMTR3.NegTotWh.instMag.f
1D24,SRC 3 Positive Varhour,@Meter/EnrMtrMMTR3.PosTotVArh.instMag.f
1D26,SRC 3 Negative Varhour,@Meter/EnrMtrMMTR3.NegTotVArh.instMag.f
1D30,SRC 4 Positive Watthour,@Meter/EnrMtrMMTR4.PosTotWh.instMag.f
1D32,SRC 4 Negative Watthour,@Meter/EnrMtrMMTR4.NegTotWh.instMag.f
