0,Off,LLN0.Zero.mag.f
16A2,RGF 1 Restricted Ground Current Magnitude,RgDifPDIF1.RstA.net.cVal.mag.f
16A4,RGF 2 Differential Ground Current Magnitude,RgDifPDIF2.DifAClc.net.cVal.mag.f
16A6,RGF 2 Restricted Ground Current Magnitude,RgDifPDIF2.RstA.net.cVal.mag.f
16A8,RGF 3 Differential Ground Current Magnitude,RgDifPDIF3.DifAClc.net.cVal.mag.f
16AA,RGF 3 Restricted Ground Current Magnitude,RgDifPDIF3.RstA.net.cVal.mag.f
16AC,RGF 4 Differential Ground Current Magnitude,RgDifPDIF4.DifAClc.net.cVal.mag.f
16AE,RGF 4 Restricted Ground Current Magnitude,RgDifPDIF4.RstA.net.cVal.mag.f
16B0,RGF 5 Differential Ground Current Magnitude,RgDifPDIF5.DifAClc.net.cVal.mag.f
16B2,RGF 5 Restricted Ground Current Magnitude,RgDifPDIF5.RstA.net.cVal.mag.f
16B4,RGF 6 Differential Ground Current Magnitude,RgDifPDIF6.DifAClc.net.cVal.mag.f
16B6,RGF 6 Restricted Ground Current Magnitude,RgDifPDIF6.RstA.net.cVal.mag.f
1680,Sens Dir Power 1 Actual,SenPDOP1.TotW.mag.f
1682,Sens Dir Power 2 Actual,SenPDOP2.TotW.mag.f
16E0,Rate of Change 1 Actual,RteHzPFRC1.HzChgRte.mag.f
16E4,Rate of Change 2 Actual,RteHzPFRC2.HzChgRte.mag.f
16E8,Rate of Change 3 Actual,RteHzPFRC3.HzChgRte.mag.f
16EC,Rate of Change 4 Actual,RteHzPFRC4.HzChgRte.mag.f
2492,Differential Current IA Magnitude,LinDfPDIF1.DifAClc.phsA.cVal.mag.f
2494,Differential Current IB Magnitude,LinDfPDIF1.DifAClc.phsB.cVal.mag.f
2496,Differential Current IC Magnitude,LinDfPDIF1.DifAClc.phsC.cVal.mag.f
24B6,Differential Current IG Magnitude,LinDfPDIF1.DifAClc.neut.cVal.mag.f
24B0,Restraint Current IA,LinDfPDIF1.RstA.phsA.cVal.mag.f
24B2,Restraint Current IB,LinDfPDIF1.RstA.phsB.cVal.mag.f
24B4,Restraint Current IC,LinDfPDIF1.RstA.phsC.cVal.mag.f
24B9,Restraint Current IG,LinDfPDIF1.RstA.neut.cVal.mag.f
2480,Local IA Magnitude,LinDf0MMXU1.A.phsA.cVal.mag.f
2482,Local IB Magnitude,LinDf0MMXU1.A.phsB.cVal.mag.f
2484,Local IC Magnitude,LinDf0MMXU1.A.phsC.cVal.mag.f
2486,Remote1 IA Magnitude,LinDf1MMXU1.A.phsA.cVal.mag.f
2488,Remote1 IB Magnitude,LinDf1MMXU1.A.phsB.cVal.mag.f
248A,Remote1 IC Magnitude,LinDf1MMXU1.A.phsC.cVal.mag.f
248C,Remote2 IA Magnitude,LinDf2MMXU1.A.phsA.cVal.mag.f
248E,Remote2 IB Magnitude,LinDf2MMXU1.A.phsB.cVal.mag.f
2490,Remote2 IC Magnitude,LinDf2MMXU1.A.phsC.cVal.mag.f

1D80,SRC 1 Frequency,ACsrcMMXU1.Hz.mag.f
1D82,SRC 2 Frequency,ACsrcMMXU2.Hz.mag.f
1D84,SRC 3 Frequency,ACsrcMMXU3.Hz.mag.f
1D86,SRC 4 Frequency,ACsrcMMXU4.Hz.mag.f
1D88,SRC 5 Frequency,ACsrcMMXU5.Hz.mag.f
1D8A,SRC 6 Frequency,ACsrcMMXU6.Hz.mag.f

D5C8,SRC 1 Frequency,HThdMHAI1.Hz.mag.f
D5CA,SRC 2 Frequency,HThdMHAI2.Hz.mag.f
D5CC,SRC 3 Frequency,HThdMHAI3.Hz.mag.f
D5CE,SRC 4 Frequency,HThdMHAI4.Hz.mag.f
D5D0,SRC 5 Frequency,HThdMHAI5.Hz.mag.f
D5D2,SRC 6 Frequency,HThdMHAI6.Hz.mag.f

1D84,SRC 1 Frequency,HDetMHAI1.Hz.mag.f,C60,C95,D30,D60,F35,F60,G60,G30,L30,L90,N60,T60,T35
1D8A,SRC 2 Frequency,HDetMHAI2.Hz.mag.f,C60,C95,D30,D60,F35,F60,G60,G30,L30,L90,N60,T60,T35
1D90,SRC 3 Frequency,HDetMHAI3.Hz.mag.f,C60,C95,D30,D60,F35,F60,G60,G30,L30,L90,N60,T60,T35
1D96,SRC 4 Frequency,HDetMHAI4.Hz.mag.f,C60,C95,D30,D60,F35,F60,G60,G30,L30,L90,N60,T60,T35
1D9C,SRC 5 Frequency,HDetMHAI5.Hz.mag.f,C60,C95,D30,D60,F35,F60,G60,G30,L30,L90,N60,T60,T35
1DA2,SRC 6 Frequency,HDetMHAI6.Hz.mag.f,C60,C95,D30,D60,F35,F60,G60,G30,L30,L90,N60,T60,T35

4500,Bus Diff IA Magnitude,BusDifPDIF1.DifAClc.phsA.cVal.mag.f
4502,Bus Diff IA Angle,BusDifPDIF1.DifAClc.phsA.cVal.ang.f
4503,Bus Diff IB Magnitude,BusDifPDIF1.DifAClc.phsB.cVal.mag.f
4505,Bus Diff IB Angle,BusDifPDIF1.DifAClc.phsB.cVal.ang.f
4506,Bus Diff IC Magnitude,BusDifPDIF1.DifAClc.phsC.cVal.mag.f
4508,Bus Diff IC Angle,BusDifPDIF1.DifAClc.phsC.cVal.ang.f
4509,Bus Rest IA Magnitude,BusDifPDIF1.RstA.phsA.cVal.mag.f
450B,Bus Rest IA Angle,BusDifPDIF1.RstA.phsA.cVal.ang.f
450C,Bus Rest IB Magnitude,BusDifPDIF1.RstA.phsB.cVal.mag.f
450E,Bus Rest IB Angle,BusDifPDIF1.RstA.phsB.cVal.ang.f
450F,Bus Rest IC Magnitude,BusDifPDIF1.RstA.phsC.cVal.mag.f
4511,Bus Rest IC Angle,BusDifPDIF1.RstA.phsC.cVal.ang.f
451D,Bus Diff IA Magnitude,BusDifPDIF2.DifAClc.phsA.cVal.mag.f
451F,Bus Diff IA Angle,BusDifPDIF2.DifAClc.phsA.cVal.ang.f
4520,Bus Diff IB Magnitude,BusDifPDIF2.DifAClc.phsB.cVal.mag.f
4522,Bus Diff IB Angle,BusDifPDIF2.DifAClc.phsB.cVal.ang.f
4523,Bus Diff IC Magnitude,BusDifPDIF2.DifAClc.phsC.cVal.mag.f
4525,Bus Diff IC Angle,BusDifPDIF2.DifAClc.phsC.cVal.ang.f
4526,Bus Rest IA Magnitude,BusDifPDIF2.RstA.phsA.cVal.mag.f
4528,Bus Rest IA Angle,BusDifPDIF2.RstA.phsA.cVal.ang.f
4529,Bus Rest IB Magnitude,BusDifPDIF2.RstA.phsB.cVal.mag.f
452B,Bus Rest IB Angle,BusDifPDIF2.RstA.phsB.cVal.ang.f
452C,Bus Rest IC Magnitude,BusDifPDIF2.RstA.phsC.cVal.mag.f
452E,Bus Rest IC Angle,BusDifPDIF2.RstA.phsC.cVal.ang.f
453A,Bus Diff IA Magnitude,BusDifPDIF3.DifAClc.phsA.cVal.mag.f
453C,Bus Diff IA Angle,BusDifPDIF3.DifAClc.phsA.cVal.ang.f
453D,Bus Diff IB Magnitude,BusDifPDIF3.DifAClc.phsB.cVal.mag.f
453F,Bus Diff IB Angle,BusDifPDIF3.DifAClc.phsB.cVal.ang.f
4540,Bus Diff IC Magnitude,BusDifPDIF3.DifAClc.phsC.cVal.mag.f
4542,Bus Diff IC Angle,BusDifPDIF3.DifAClc.phsC.cVal.ang.f
4543,Bus Rest IA Magnitude,BusDifPDIF3.RstA.phsA.cVal.mag.f
4545,Bus Rest IA Angle,BusDifPDIF3.RstA.phsA.cVal.ang.f
4546,Bus Rest IB Magnitude,BusDifPDIF3.RstA.phsB.cVal.mag.f
4548,Bus Rest IB Angle,BusDifPDIF3.RstA.phsB.cVal.ang.f
4549,Bus Rest IC Magnitude,BusDifPDIF3.RstA.phsC.cVal.mag.f
454B,Bus Rest IC Angle,BusDifPDIF3.RstA.phsC.cVal.ang.f
4557,Bus Diff IA Magnitude,BusDifPDIF4.DifAClc.phsA.cVal.mag.f
4559,Bus Diff IA Angle,BusDifPDIF4.DifAClc.phsA.cVal.ang.f
455A,Bus Diff IB Magnitude,BusDifPDIF4.DifAClc.phsB.cVal.mag.f
455C,Bus Diff IB Angle,BusDifPDIF4.DifAClc.phsB.cVal.ang.f
455D,Bus Diff IC Magnitude,BusDifPDIF4.DifAClc.phsC.cVal.mag.f
455F,Bus Diff IC Angle,BusDifPDIF4.DifAClc.phsC.cVal.ang.f
4560,Bus Rest IA Magnitude,BusDifPDIF4.RstA.phsA.cVal.mag.f
4562,Bus Rest IA Angle,BusDifPDIF4.RstA.phsA.cVal.ang.f
4563,Bus Rest IB Magnitude,BusDifPDIF4.RstA.phsB.cVal.mag.f
4565,Bus Rest IB Angle,BusDifPDIF4.RstA.phsB.cVal.ang.f
4566,Bus Rest IC Magnitude,BusDifPDIF4.RstA.phsC.cVal.mag.f
4568,Bus Rest IC Angle,BusDifPDIF4.RstA.phsC.cVal.ang.f
4574,Bus Diff IA Magnitude,BusDifPDIF5.DifAClc.phsA.cVal.mag.f
4576,Bus Diff IA Angle,BusDifPDIF5.DifAClc.phsA.cVal.ang.f
4577,Bus Diff IB Magnitude,BusDifPDIF5.DifAClc.phsB.cVal.mag.f
4579,Bus Diff IB Angle,BusDifPDIF5.DifAClc.phsB.cVal.ang.f
457A,Bus Diff IC Magnitude,BusDifPDIF5.DifAClc.phsC.cVal.mag.f
457C,Bus Diff IC Angle,BusDifPDIF5.DifAClc.phsC.cVal.ang.f
457D,Bus Rest IA Magnitude,BusDifPDIF5.RstA.phsA.cVal.mag.f
457F,Bus Rest IA Angle,BusDifPDIF5.RstA.phsA.cVal.ang.f
4580,Bus Rest IB Magnitude,BusDifPDIF5.RstA.phsB.cVal.mag.f
4582,Bus Rest IB Angle,BusDifPDIF5.RstA.phsB.cVal.ang.f
4583,Bus Rest IC Magnitude,BusDifPDIF5.RstA.phsC.cVal.mag.f
4585,Bus Rest IC Angle,BusDifPDIF5.RstA.phsC.cVal.ang.f
4591,Bus Diff IA Magnitude,BusDifPDIF6.DifAClc.phsA.cVal.mag.f
4593,Bus Diff IA Angle,BusDifPDIF6.DifAClc.phsA.cVal.ang.f
4594,Bus Diff IB Magnitude,BusDifPDIF6.DifAClc.phsB.cVal.mag.f
4596,Bus Diff IB Angle,BusDifPDIF6.DifAClc.phsB.cVal.ang.f
4597,Bus Diff IC Magnitude,BusDifPDIF6.DifAClc.phsC.cVal.mag.f
4599,Bus Diff IC Angle,BusDifPDIF6.DifAClc.phsC.cVal.ang.f
459A,Bus Rest IA Magnitude,BusDifPDIF6.RstA.phsA.cVal.mag.f
459C,Bus Rest IA Angle,BusDifPDIF6.RstA.phsA.cVal.ang.f
459D,Bus Rest IB Magnitude,BusDifPDIF6.RstA.phsB.cVal.mag.f
459F,Bus Rest IB Angle,BusDifPDIF6.RstA.phsB.cVal.ang.f
45A0,Bus Rest IC Magnitude,BusDifPDIF6.RstA.phsC.cVal.mag.f
45A2,Bus Rest IC Angle,BusDifPDIF6.RstA.phsC.cVal.ang.f

4600,Bus 1 Gnd Diff Magnitude,BSGDifPDIF1.DifAClc.res.cVal.mag.f
4602,Bus 1 Gnd Diff Angle,BSGDifPDIF1.DifAClc.res.cVal.ang.f
4603,Bus 1 Gnd Rest Magnitude,BSGDifPDIF1.RstA.res.cVal.mag.f

4607,Bus 2 Gnd Diff Magnitude,BSGDifPDIF2.DifAClc.res.cVal.mag.f
4609,Bus 2 Gnd Diff Angle,BSGDifPDIF2.DifAClc.res.cVal.ang.f
460A,Bus 2 Gnd Rest Magnitude,BSGDifPDIF2.RstA.res.cVal.mag.f

460E,Bus 3 Gnd Diff Magnitude,BSGDifPDIF3.DifAClc.res.cVal.mag.f
4610,Bus 3 Gnd Diff Angle,BSGDifPDIF3.DifAClc.res.cVal.ang.f
4611,Bus 3 Gnd Rest Magnitude,BSGDifPDIF3.RstA.res.cVal.mag.f

4615,Bus 4 Gnd Diff Magnitude,BSGDifPDIF4.DifAClc.res.cVal.mag.f
4617,Bus 4 Gnd Diff Angle,BSGDifPDIF4.DifAClc.res.cVal.ang.f
4618,Bus 4 Gnd Rest Magnitude,BSGDifPDIF4.RstA.res.cVal.mag.f

461C,Bus 5 Gnd Diff Magnitude,BSGDifPDIF5.DifAClc.res.cVal.mag.f
461E,Bus 5 Gnd Diff Angle,BSGDifPDIF5.DifAClc.res.cVal.ang.f
461F,Bus 5 Gnd Rest Magnitude,BSGDifPDIF5.RstA.res.cVal.mag.f

4623,Bus 6 Gnd Diff Magnitude,BSGDifPDIF6.DifAClc.res.cVal.mag.f
4625,Bus 6 Gnd Diff Angle,BSGDifPDIF6.DifAClc.res.cVal.ang.f
4626,Bus 6 Gnd Rest Magnitude,BSGDifPDIF6.RstA.res.cVal.mag.f


376B,PTP-IRIG-B Delta,TmClkLTMS1.TmnsDelta.mag.f
//376B,PTP-IRIG-B Delta,TmClkLTMS1.TmnsDelta.mag.f

4F60,SRC 1 Phase A Current RMS,ACsrcMMXU1.AaRMS.mag.f
4F62,SRC 1 Phase B Current RMS,ACsrcMMXU1.AbRMS.mag.f
4F64,SRC 1 Phase C Current RMS,ACsrcMMXU1.AcRMS.mag.f
4F66,SRC 1 Neutral Current RMS,ACsrcMMXU1.AresRMS.mag.f
4F68,SRC 1 Phase A Current Magnitude,ACsrcMMXU1.A.phsA.cVal.mag.f
4F6A,SRC 1 Phase A Current Angle,ACsrcMMXU1.A.phsA.cVal.ang.f
4F6B,SRC 1 Phase B Current Magnitude,ACsrcMMXU1.A.phsB.cVal.mag.f
4F6D,SRC 1 Phase B Current Angle,ACsrcMMXU1.A.phsB.cVal.ang.f
4F6E,SRC 1 Phase C Current Magnitude,ACsrcMMXU1.A.phsC.cVal.mag.f
4F70,SRC 1 Phase C Current Angle,ACsrcMMXU1.A.phsC.cVal.ang.f
4F71,SRC 1 Neutral Current Magnitude,ACsrcMMXU1.A.res.cVal.mag.f
4F73,SRC 1 Neutral Current Angle,ACsrcMMXU1.A.res.cVal.ang.f
4F74,SRC 1 Ground Current RMS,ACsrcMMXN1.AgndRMS.mag.f
4F76,SRC 1 Ground Current Magnitude,ACsrcMMXN1.Agnd.cVal.mag.f
4F78,SRC 1 Ground Current Angle,ACsrcMMXN1.Agnd.cVal.ang.f
4F79,SRC 1 Zero Sequence Current Magnitude,ACsrcMSQI1.SeqA.c3.cVal.mag.f
4F7B,SRC 1 Zero Sequence Current Angle,ACsrcMSQI1.SeqA.c3.cVal.ang.f
4F7C,SRC 1 Positive Sequence Current Magnitude,ACsrcMSQI1.SeqA.c1.cVal.mag.f
4F7E,SRC 1 Positive Sequence Current Angle,ACsrcMSQI1.SeqA.c1.cVal.ang.f
4F7F,SRC 1 Negative Sequence Current Magnitude,ACsrcMSQI1.SeqA.c2.cVal.mag.f
4F81,SRC 1 Negative Sequence Current Angle,ACsrcMSQI1.SeqA.c2.cVal.ang.f

1B00,SRC 1 Three Phase Real Power,ACsrcMMXU1.TotW.mag.f
1B08,SRC 1 Three Phase Reactive Power,ACsrcMMXU1.TotVAr.mag.f
1B10,SRC 1 Three Phase Apparent Power,ACsrcMMXU1.TotVA.mag.f
1B18,SRC 1 Three Phase Power Factor,ACsrcMMXU1.TotPF.mag.f
1715,SRC 1 Phase AB Voltage Magnitude,ACsrcMMXU1.PPV.phsAB.cVal.mag.f
1717,SRC 1 Phase AB Voltage Angle,ACsrcMMXU1.PPV.phsAB.cVal.ang.f
1718,SRC 1 Phase BC Voltage Magnitude,ACsrcMMXU1.PPV.phsBC.cVal.mag.f
171A,SRC 1 Phase BC Voltage Angle,ACsrcMMXU1.PPV.phsBC.cVal.ang.f
171B,SRC 1 Phase CA Voltage Magnitude,ACsrcMMXU1.PPV.phsCA.cVal.mag.f
171D,SRC 1 Phase CA Voltage Angle,ACsrcMMXU1.PPV.phsCA.cVal.ang.f
170F,SRC 1 Phase AB Voltage RMS,ACsrcMMXU1.VabRMS.mag.f
1711,SRC 1 Phase BC Voltage RMS,ACsrcMMXU1.VbcRMS.mag.f
1713,SRC 1 Phase CA Voltage RMS,ACsrcMMXU1.VcaRMS.mag.f
1706,SRC 1 Phase AG Voltage Magnitude,ACsrcMMXU1.PhV.phsA.cVal.mag.f
1708,SRC 1 Phase AG Voltage Angle,ACsrcMMXU1.PhV.phsA.cVal.ang.f
1709,SRC 1 Phase BG Voltage Magnitude,ACsrcMMXU1.PhV.phsB.cVal.mag.f
170B,SRC 1 Phase BG Voltage Angle,ACsrcMMXU1.PhV.phsB.cVal.ang.f
170C,SRC 1 Phase CG Voltage Magnitude,ACsrcMMXU1.PhV.phsC.cVal.mag.f
170E,SRC 1 Phase CG Voltage Angle,ACsrcMMXU1.PhV.phsC.cVal.ang.f
1700,SRC 1 Phase AG Voltage RMS,ACsrcMMXU1.VaRMS.mag.f
1702,SRC 1 Phase BG Voltage RMS,ACsrcMMXU1.VbRMS.mag.f
1704,SRC 1 Phase CG Voltage RMS,ACsrcMMXU1.VcRMS.mag.f
1B02,SRC 1 Phase A Real Power,ACsrcMMXU1.W.phsA.cVal.mag.f
1B04,SRC 1 Phase B Real Power,ACsrcMMXU1.W.phsB.cVal.mag.f
1B06,SRC 1 Phase C Real Power,ACsrcMMXU1.W.phsC.cVal.mag.f
1B0A,SRC 1 Phase A Reactive Power,ACsrcMMXU1.VAr.phsA.cVal.mag.f
1B0C,SRC 1 Phase B Reactive Power,ACsrcMMXU1.VAr.phsB.cVal.mag.f
1B0E,SRC 1 Phase C Reactive Power,ACsrcMMXU1.VAr.phsC.cVal.mag.f
1B12,SRC 1 Phase A Apparent Power,ACsrcMMXU1.VA.phsA.cVal.mag.f
1B14,SRC 1 Phase B Apparent Power,ACsrcMMXU1.VA.phsB.cVal.mag.f
1B16,SRC 1 Phase C Apparent Power,ACsrcMMXU1.VA.phsC.cVal.mag.f
1B19,SRC 1 Phase A Power Factor,ACsrcMMXU1.PF.phsA.cVal.mag.f
1B1A,SRC 1 Phase B Power Factor,ACsrcMMXU1.PF.phsB.cVal.mag.f
1B1B,SRC 1 Phase C Power Factor,ACsrcMMXU1.PF.phsC.cVal.mag.f

4F9D,SRC 2 Phase A Current RMS,ACsrcMMXU2.AaRMS.mag.f
4F9F,SRC 2 Phase B Current RMS,ACsrcMMXU2.AbRMS.mag.f
4FA1,SRC 2 Phase C Current RMS,ACsrcMMXU2.AcRMS.mag.f
4FA3,SRC 2 Neutral Current RMS,ACsrcMMXU2.AresRMS.mag.f
4FA5,SRC 2 Phase A Current Magnitude,ACsrcMMXU2.A.phsA.cVal.mag.f
4FA7,SRC 2 Phase A Current Angle,ACsrcMMXU2.A.phsA.cVal.ang.f
4FA8,SRC 2 Phase B Current Magnitude,ACsrcMMXU2.A.phsB.cVal.mag.f
4FAA,SRC 2 Phase B Current Angle,ACsrcMMXU2.A.phsB.cVal.ang.f
4FAB,SRC 2 Phase C Current Magnitude,ACsrcMMXU2.A.phsC.cVal.mag.f
4FAD,SRC 2 Phase C Current Angle,ACsrcMMXU2.A.phsC.cVal.ang.f
4FAE,SRC 2 Neutral Current Magnitude,ACsrcMMXU2.A.res.cVal.mag.f
4FB0,SRC 2 Neutral Current Angle,ACsrcMMXU2.A.res.cVal.ang.f
4FB1,SRC 2 Ground Current RMS,ACsrcMMXN2.AgndRMS.mag.f
4FB3,SRC 2 Ground Current Magnitude,ACsrcMMXN2.Agnd.cVal.mag.f
4FB5,SRC 2 Ground Current Angle,ACsrcMMXN2.Agnd.cVal.ang.f
4FB6,SRC 2 Zero Sequence Current Magnitude,ACsrcMSQI2.SeqA.c3.cVal.mag.f
4FB8,SRC 2 Zero Sequence Current Angle,ACsrcMSQI2.SeqA.c3.cVal.ang.f
4FB9,SRC 2 Positive Sequence Current Magnitude,ACsrcMSQI2.SeqA.c1.cVal.mag.f
4FBB,SRC 2 Positive Sequence Current Angle,ACsrcMSQI2.SeqA.c1.cVal.ang.f
4FBC,SRC 2 Negative Sequence Current Magnitude,ACsrcMSQI2.SeqA.c2.cVal.mag.f
4FBE,SRC 2 Negative Sequence Current Angle,ACsrcMSQI2.SeqA.c2.cVal.ang.f

1B20,SRC 2 Three Phase Real Power,ACsrcMMXU2.TotW.mag.f
1B28,SRC 2 Three Phase Reactive Power,ACsrcMMXU2.TotVAr.mag.f
1B30,SRC 2 Three Phase Apparent Power,ACsrcMMXU2.TotVA.mag.f
1B38,SRC 2 Three Phase Power Factor,ACsrcMMXU2.TotPF.mag.f
1755,SRC 2 Phase AB Voltage Magnitude,ACsrcMMXU2.PPV.phsAB.cVal.mag.f
1757,SRC 2 Phase AB Voltage Angle,ACsrcMMXU2.PPV.phsAB.cVal.ang.f
1758,SRC 2 Phase BC Voltage Magnitude,ACsrcMMXU2.PPV.phsBC.cVal.mag.f
175A,SRC 2 Phase BC Voltage Angle,ACsrcMMXU2.PPV.phsBC.cVal.ang.f
175B,SRC 2 Phase CA Voltage Magnitude,ACsrcMMXU2.PPV.phsCA.cVal.mag.f
175D,SRC 2 Phase CA Voltage Angle,ACsrcMMXU2.PPV.phsCA.cVal.ang.f
174F,SRC 2 Phase AB Voltage RMS,ACsrcMMXU2.VabRMS.mag.f
1751,SRC 2 Phase BC Voltage RMS,ACsrcMMXU2.VbcRMS.mag.f
1753,SRC 2 Phase CA Voltage RMS,ACsrcMMXU2.VcaRMS.mag.f
1746,SRC 2 Phase AG Voltage Magnitude,ACsrcMMXU2.PhV.phsA.cVal.mag.f
1748,SRC 2 Phase AG Voltage Angle,ACsrcMMXU2.PhV.phsA.cVal.ang.f
1749,SRC 2 Phase BG Voltage Magnitude,ACsrcMMXU2.PhV.phsB.cVal.mag.f
174B,SRC 2 Phase BG Voltage Angle,ACsrcMMXU2.PhV.phsB.cVal.ang.f
174C,SRC 2 Phase CG Voltage Magnitude,ACsrcMMXU2.PhV.phsC.cVal.mag.f
174E,SRC 2 Phase CG Voltage Angle,ACsrcMMXU2.PhV.phsC.cVal.ang.f
1740,SRC 2 Phase AG Voltage RMS,ACsrcMMXU2.VaRMS.mag.f
1742,SRC 2 Phase BG Voltage RMS,ACsrcMMXU2.VbRMS.mag.f
1744,SRC 2 Phase CG Voltage RMS,ACsrcMMXU2.VcRMS.mag.f
1B22,SRC 2 Phase A Real Power,ACsrcMMXU2.W.phsA.cVal.mag.f
1B24,SRC 2 Phase B Real Power,ACsrcMMXU2.W.phsB.cVal.mag.f
1B26,SRC 2 Phase C Real Power,ACsrcMMXU2.W.phsC.cVal.mag.f
1B2A,SRC 2 Phase A Reactive Power,ACsrcMMXU2.VAr.phsA.cVal.mag.f
1B2C,SRC 2 Phase B Reactive Power,ACsrcMMXU2.VAr.phsB.cVal.mag.f
1B2E,SRC 2 Phase C Reactive Power,ACsrcMMXU2.VAr.phsC.cVal.mag.f
1B32,SRC 2 Phase A Apparent Power,ACsrcMMXU2.VA.phsA.cVal.mag.f
1B34,SRC 2 Phase B Apparent Power,ACsrcMMXU2.VA.phsB.cVal.mag.f
1B36,SRC 2 Phase C Apparent Power,ACsrcMMXU2.VA.phsC.cVal.mag.f
1B39,SRC 2 Phase A Power Factor,ACsrcMMXU2.PF.phsA.cVal.mag.f
1B3A,SRC 2 Phase B Power Factor,ACsrcMMXU2.PF.phsB.cVal.mag.f
1B3B,SRC 2 Phase C Power Factor,ACsrcMMXU2.PF.phsC.cVal.mag.f

4FDA,SRC 3 Phase A Current RMS,ACsrcMMXU3.AaRMS.mag.f
4FDC,SRC 3 Phase B Current RMS,ACsrcMMXU3.AbRMS.mag.f
4FDE,SRC 3 Phase C Current RMS,ACsrcMMXU3.AcRMS.mag.f
4FE0,SRC 3 Neutral Current RMS,ACsrcMMXU3.AresRMS.mag.f
4FE2,SRC 3 Phase A Current Magnitude,ACsrcMMXU3.A.phsA.cVal.mag.f
4FE4,SRC 3 Phase A Current Angle,ACsrcMMXU3.A.phsA.cVal.ang.f
4FE5,SRC 3 Phase B Current Magnitude,ACsrcMMXU3.A.phsB.cVal.mag.f
4FE7,SRC 3 Phase B Current Angle,ACsrcMMXU3.A.phsB.cVal.ang.f
4FE8,SRC 3 Phase C Current Magnitude,ACsrcMMXU3.A.phsC.cVal.mag.f
4FEA,SRC 3 Phase C Current Angle,ACsrcMMXU3.A.phsC.cVal.ang.f
4FEB,SRC 3 Neutral Current Magnitude,ACsrcMMXU3.A.res.cVal.mag.f
4FED,SRC 3 Neutral Current Angle,ACsrcMMXU3.A.res.cVal.ang.f
4FEE,SRC 3 Ground Current RMS,ACsrcMMXN3.AgndRMS.mag.f
4FF0,SRC 3 Ground Current Magnitude,ACsrcMMXN3.Agnd.cVal.mag.f
4FF2,SRC 3 Ground Current Angle,ACsrcMMXN3.Agnd.cVal.ang.f
4FF3,SRC 3 Zero Sequence Current Magnitude,ACsrcMSQI3.SeqA.c3.cVal.mag.f
4FF5,SRC 3 Zero Sequence Current Angle,ACsrcMSQI3.SeqA.c3.cVal.ang.f
